ID,GateGuide,NodeID,GuideID,GroupID,Type,ExtraType,Skip,GuideMode,TipsTextID,TipsTextPos,TextID,DialogID,DialogNodeID,FocusType,GuideNodeID,GuideNodePos,DragNodeID,DragNodePos,IsForce,timer,NextGuideID,PreGuideID,GateID,Level,SoldierSum,Target,Item,IsShowHand,WaitTime,IsShow,Extra1,Func,FuncParam,IsPause,IsBattleGuide,IsFingerAni,PointerPos,PointAngle,TouchAtOnce,EnableFocus,OpratorType,canRollback,rookieCampGateID,SaveRelateGroup,SaveAtOnce,text
29,2,31201,320,50,16,0,0,7,0,0#25,30008,102,0,2,SpriteSingle_0,0#0,0,0#0,0,0,340,300,99030,1,0,0,0,1,3,0,76#501,0,0,1,1,1,100#200,45,0,1,0,2,0,0,0,测试训练营3-剧情对话，聚焦出兵百分比条
30,2,31301,340,50,2,0,0,1,0,0#25,316,100,0,1,mSliderBtn_2,0#0,0,0#0,1,0,0,330,99030,1,0,0,0,1,2,0,50,2,0,1,0,2,-20#55,45,1,1,0,2,0,0,0,测试训练营3-选择兵力条
31,2,31401,350,50,1,0,0,2,0,0#25,316,100,0,1,9903001,0#25,9903002,0#0,0,0,0,340,99030,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营3-引导防守
32,2,31501,360,50,21,0,0,2,0,0#25,316,100,0,1,9903001,0#25,9903003,0#0,0,0,0,350,99030,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营3-引导防守2
33,2,31601,370,50,14,0,0,7,0,0#25,30009,102,0,0,0,0#0,0,0#0,0,0,0,360,99030,1,50,9903002,0,0,0,0,0,2,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营3-防守成功对话
34,2,31701,380,50,1,0,0,2,0,0#25,316,100,0,1,9903002,0#25,9903004,0#0,0,0,0,370,99030,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营3-引导玩家进攻粽子兵营（上）
35,2,31801,390,50,22,0,0,2,0,0#25,316,100,0,1,9903003,0#25,9903005,0#0,0,0,0,380,99030,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,1,测试训练营3-引导玩家进攻粽子兵营（下）
36,2,41101,400,60,1,0,0,3,0,0#25,30010,102,0,1,9904002,0#25,0,0#0,0,0,410,0,99040,1,0,0,0,0,5,0,70,0,0,1,1,1,0#0,0,0,1,0,2,0,0,0,测试训练营4-开场对话，聚焦军备所
37,2,41201,410,60,1,0,0,2,0,0#25,316,100,0,1,9904001,0#25,9904002,0#0,0,0,0,400,99040,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营4-引导攻打军备所
38,2,41301,420,60,23,0,0,7,0,0#25,30011,102,0,0,0,0#0,0,0#0,0,0.5,0,410,99040,1,0,0,0,0,0,0,0,0,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营4-占领军备所后对话
39,2,41401,430,60,14,0,0,2,0,0#25,316,100,0,1,9904002,0#25,9904003,0#0,0,0,0,420,99040,1,35,9904002,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营4-引导攻打粽子兵营（左）
40,2,41501,440,60,4,0,0,3,0,0#25,316,100,0,1,9904004,0#25,0,0#0,0,0,0,420,99040,1,0,9904003,0,1,15,0,90,10,1,1,1,1,100#200,45,0,1,0,2,0,0,0,测试训练营4-野怪刷出、聚焦野怪
41,2,41601,441,60,1,0,0,7,0,0#25,30012,102,0,0,0,0#0,0,0#0,0,0,450,440,99040,1,0,0,0,0,0,0,0,0,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营4-聚焦野怪后对话（Luck~前方发现野生生物）
42,2,41701,450,60,1,0,0,3,0,0#25,316,100,0,2,mPlayer1,110#-50,0,0#0,0,0,0,441,99040,1,0,0,0,1,15,0,220#100,11,1,1,1,1,100#200,45,0,1,0,2,0,0,0,测试训练营4-聚焦玩家头像（士气槽）
43,2,41801,470,60,1,0,0,2,0,0#25,316,100,0,1,9904003,0#25,9904004,0#0,0,0,0,450,99040,1,20,0,0,0,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营4-引导玩家进攻野怪
44,2,41901,480,60,25,0,0,7,0,0#25,30013,102,0,0,0,0#0,0,0#0,0,0,490,470,99040,1,0,0,0,0,0,0,0,0,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营4-打败野怪后对话
45,2,42001,490,60,1,0,0,2,0,0#25,316,100,0,1,9904003,0#25,9904005,0#0,0,0,0,480,99040,1,20,0,0,0,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,1,测试训练营4-引导玩家攻击粽子兵营（右）
46,2,51101,500,70,16,0,0,7,0,0#25,30014,102,0,0,0,0#0,0,0#0,0,0,0,0,99050,1,0,0,0,0,0,0,0,12,1000,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营5-开场对话
47,2,51201,510,70,2,0,0,1,0,0#25,316,100,0,1,prop_item1,0#0,0,0#0,1,0,0,500,99050,1,0,0,0,1,5,0,65,11,26,1,1,1,100#200,45,0,1,0,2,0,0,0,测试训练营5-获得道具朝天椒并聚焦道具栏
48,2,51301,520,70,26,0,0,1,0,0#25,316,100,0,2,9905002,149#-121,0,0#0,1,0,0,510,99050,1,0,0,0,1,5,0,252#281,10,1,1,0,1,150#180,45,1,1,0,2,0,0,0,测试训练营5-选择辣椒轰炸位置
49,2,51401,530,70,1,0,0,7,0,0#25,30015,102,0,0,0,0#0,0,0#0,0,5,0,520,99050,1,0,0,0,0,0,0,0,12,1001,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营5-使用朝天椒后对白
50,2,51501,540,70,2,0,0,1,0,0#25,316,100,0,1,prop_item2,0#0,0,0#0,1,0,0,530,99050,1,0,0,0,1,5,0,65,11,26,1,1,1,100#200,45,0,1,0,2,0,0,0,测试训练营5-获得兵力包动画并聚焦道具栏
51,2,51601,550,70,26,0,0,1,0,0#25,316,100,0,1,9905001,0#25,0,0#0,1,0,0,540,99050,1,0,0,0,1,5,0,95,10,1,1,1,1,100#200,45,0,1,0,2,0,0,0,测试训练营5-引导玩家对指定己方兵营使用兵力包
52,2,51701,560,70,1,0,0,7,0,0#25,30016,102,0,0,0,0#0,0,0#0,0,2,0,550,99050,1,0,0,0,0,0,0,0,2,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营5-使用兵力包后对白
53,2,51801,570,70,1,0,0,2,0,0#25,316,100,0,1,9905001,0#25,9905002,0#0,0,0,0,560,99050,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营5-引导玩家进攻粽子兵营（上）
54,2,51901,580,70,22,0,0,2,0,0#25,316,100,0,1,9905001,0#25,9905003,0#0,0,0,0,570,99050,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,1,测试训练营5-引导玩家进攻粽子兵营（下）
55,2,61101,1090,120,1,0,0,7,0,0#25,30017,102,0,0,0,0#0,0,0#0,0,0,1100,0,99060,1,0,0,0,0,0,0,0,0,0,1,0,0,0#0,0,0,1,0,2,0,0,0,测试训练营6-开场对话
56,2,61201,1100,120,1,0,0,3,0,0#25,316,100,0,1,9906001,0#25,0,0#0,0,0,1110,1090,99060,1,0,0,0,1,5,0,70,0,0,1,1,1,100#200,45,0,1,0,2,0,0,0,测试训练营6-聚焦先锋营
57,2,61301,1110,120,14,0,0,2,0,0#25,316,100,0,1,9906001,0#25,9906005,0#0,0,0,0,1100,99060,1,0,0,0,1,0.1,0,70,0,0,1,1,1,100#200,45,0,1,1,2,0,0,0,测试训练营6-引导先锋营出兵攻打敌方建筑
58,2,61401,1120,120,23,0,0,7,0,0#25,30024,102,0,0,0,0#0,0,0#0,0,0,0,1110,99060,1,0,0,0,0,0,0,0,0,0,1,0,0,0#0,0,0,1,0,2,0,0,1,测试训练营6-先锋营出兵后对话
59,0,71101,1,1,5,0,0,1,0,0#25,30023,104,0,2,mGuideNode1,0#0,0,0#0,1,0,0,1800,1010,1,0,0,0,1,3,0,236#321,0,0,0,0,0,150#180,45,1,1,0,0,0,0,0,玩家首次来到主界面引导其进入关卡：马上开始美味大冒险吧~
60,0,71201,2,1,6,0,0,1,0,0#25,30023,100,0,1,11010,-30#-65,0,0#0,1,0,0,1,1010,1,0,0,0,1,15,0,85,0,0,0,0,0,100#200,45,1,1,0,0,0,0,0,选关界面进入第一关
61,0,71301,3,1,10,0,0,1,0,0#25,30023,100,0,2,E_GuideTag_LevelStargBtn,115#50,0,0#0,1,0,0,2,1010,1,0,0,0,1,5,0,240#105,0,0,0,0,0,100#200,45,1,1,0,0,0,0,1,关卡1详情页面的进入战斗按钮
62,0,81101,1200,140,7,0,1,1,0,0#25,324,103,0,2,Button_1,0#0,0,0#0,1,0,0,1,0,3,0,0,0,1,15,0,120#120,0,0,0,0,0,210#60,90,1,1,0,0,0,0,0,抽卡引导，第4关胜利返回选关
63,0,81201,1210,140,6,0,1,1,0,0#25,325,103,0,2,BtnBack,0#0,0,0#0,1,0,0,1200,0,3,0,0,0,1,15,0,120#120,0,0,0,0,0,210#60,90,1,1,0,0,0,0,1,抽卡引导，第4关返回到主界面
64,0,81301,1300,150,5,0,0,5,0,0#25,30025,103,0,0,0,0#0,0,0#0,0,0,1310,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0#0,0,0,1,0,0,0,0,0,抽卡引导，主页面对话
65,0,81401,1310,150,5,0,0,1,0,0#25,30025,103,0,1,InstituteBtn,0#-10,0,0#0,1,0,0,1300,0,3,0,0,0,1,15,0,70,0,0,0,0,0,-220#-75,270,1,1,0,0,0,0,0,抽卡引导，主界面选择抽卡按钮
66,0,81501,1320,150,28,0,0,5,0,0#25,30026,103,0,0,0,0#0,0,0#0,0,0,1330,1310,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0#0,0,0,1,0,0,0,0,0,抽卡引导，进入抽卡页面，抽卡引导对话
67,0,81601,1330,150,28,0,0,1,0,0#25,30026,103,0,2,GuideNode,0#-250,0,0#0,1,0,0,1320,0,3,0,0,0,1,5,0,270#105,0,0,0,0,0,170#200,45,1,1,0,0,0,0,1,抽卡引导，聚焦抽卡按钮
68,0,81701,1335,150,29,0,0,5,0,0#25,30027,103,0,0,0,0#0,0,0#0,0,0,1340,1330,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0#0,0,0,0,0,0,0,0,0,抽卡引导，抽卡完成，获得将军说明
69,0,81801,1340,150,29,0,0,1,0,0#25,30027,103,0,2,GuideNode2,0#0,0,0#0,1,0,0,1335,0,3,0,0,0,1,5,0,270#105,0,0,0,0,0,100#200,45,1,1,0,0,0,0,0,抽卡引导，抽卡完成聚焦查看按钮
70,0,91101,1410,160,30,0,0,1,0,0#25,30028,103,0,2,GuideNode0,0#0,0,0#0,2,0,1420,0,0,3,0,0,0,0,0,0,400#318,0,0,0,0,0,0#0,0,0,1,0,0,0,0,0,将军引导，进入精灵页面，精灵引导对话，聚焦立绘
71,0,91201,1420,160,30,0,0,1,0,0#25,30029,103,0,2,GuideNode1,0#0,0,0#0,2,0,1430,1410,0,3,0,0,0,0,3,0,437#275,0,0,0,0,0,150#180,45,1,1,0,0,0,0,0,将军引导，将军聚焦精灵说明
72,0,91301,1430,160,30,0,0,1,0,0#25,30031,103,0,2,GuideNode2,0#0,0,0#0,1,0,0,1420,0,3,0,0,0,1,5,0,215#86,0,0,0,0,0,150#200,45,1,1,0,0,0,0,1,将军引导，聚焦精灵装备按钮
73,0,101101,63,20,5,13,0,5,0,0#25,351,103,0,0,0,0#0,0,0#0,0,0,65,1,0,1,0,0,100100,0,0,0,0,0,0,0,0,0,0#0,0,0,1,0,0,0,0,0,回到主界面，跳出天赋引导（人家送你礼物啦，猜猜是啥）
74,0,101201,65,20,5,13,0,1,0,0#25,354,103,0,2,BtnGlyph,0#0,0,0#0,1,0,0,63,0,1,0,0,100100,1,15,0,150#70,0,0,0,0,0,100#200,45,1,1,0,0,0,0,0,天赋引导，主界面选择天赋按钮（现在我们来学习天赋吧）
75,0,101301,66,20,13,0,0,1,0,0#25,355,103,0,1,GuideNode,0#0,0,0#0,1,0,67,65,0,1,0,0,100100,1,15,0,70,0,0,0,0,0,100#200,45,1,1,0,0,0,0,0,天赋引导，天赋系统选择攻击1天赋学习（点击这里学习一个天赋）
76,0,101401,67,20,13,0,0,1,0,0#25,356,103,0,2,GuideNode2,0#0,0,0#0,1,0,68,66,0,1,0,0,100100,1,15,0,268#104,0,0,0,0,0,-286#77,315,1,1,0,0,0,0,1,天赋引导，确定学习
77,0,101501,68,20,13,0,0,5,0,0#25,357,103,0,0,0,0#0,0,0#0,0,0,0,67,0,1,0,0,100100,0,0,0,0,0,0,0,0,0,0#0,0,0,0,0,0,0,0,0,天赋引导，天赋学习完成（你已经学会一个天赋啦，多多收集佐料来升级吧，你会变得更强大！）
78,0,111101,1630,190,5,0,0,5,0,0#25,30033,103,0,0,0,0#0,0,0#0,0,0,0,1730,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0#0,0,0,1,0,0,0,0,0,时装引导，主页面对话
79,0,111201,1650,190,5,0,0,1,0,0#25,30035,104,0,2,BtnFashion,0#0,0,0#0,1,0,0,1630,0,1,0,0,0,1,15,0,150#70,0,0,0,0,0,100#200,45,1,1,0,0,0,0,0,时装引导，主界面选择时装按钮
80,0,111301,1660,190,33,0,0,1,0,0#25,30036,104,0,2,NodeSelectFashion,0#10,0,0#0,1,0.5,1670,1650,0,1,0,0,0,1,5,0,110#105,0,0,0,0,0,-200#80,315,1,1,0,0,0,0,0,时装引导，聚焦新获得的限时时装的按钮
81,0,111401,1670,190,33,0,0,1,0,0#25,30037,103,0,2,BtnEquipFashion,-10#-2,0,0#0,1,0,1680,1660,0,1,0,0,0,1,5,0,180#75,0,0,0,0,0,-70#220,0,1,1,0,0,0,0,1,时装引导，聚焦装备时装按钮
82,0,111501,1680,190,33,0,0,5,0,0#25,30038,103,0,0,0,0#0,0,0#0,0,0,0,1670,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0#0,0,0,0,0,0,0,0,0,时装引导，装备完毕
