Id,Type,Prob,BuffId,EffectAni
3140005,5,50,3,fla_buffB
9023001,6,40,6,fla_buffD
9023003,3,20,5,fla_buffC
9023005,5,40,3,fla_buffB
9024001,6,25,6,fla_buffD
9024003,3,25,5,fla_buffC
9024005,5,50,3,fla_buffB
9027001,6,40,6,fla_buffD
9027003,3,40,5,fla_buffC
9027005,5,40,3,fla_buffB
9027002,6,40,6,fla_buffD
9027004,3,40,5,fla_buffC
9027006,5,40,3,fla_buffB
9029001,6,40,6,fla_buffD
9029003,3,20,5,fla_buffC
9029005,5,40,3,fla_buffB
9041001,6,40,6,fla_buffD
9041003,3,20,5,fla_buffC
9041005,5,40,3,fla_buffB
9044001,6,40,6,fla_buffD
9044003,3,20,5,fla_buffC
9044005,5,40,3,fla_buffB
9046001,6,25,6,fla_buffD
9046003,3,25,5,fla_buffC
9046005,5,50,3,fla_buffB
9049001,6,40,6,fla_buffD
9049003,3,20,5,fla_buffC
9049005,5,40,3,fla_buffB
9410001,6,40,6,fla_buffD
9410003,3,20,5,fla_buffC
9410005,5,40,3,fla_buffB
9411001,6,40,6,fla_buffD
9411003,3,20,5,fla_buffC
9411005,5,40,3,fla_buffB
9412001,6,33,6,fla_buffD
9412002,3,33,5,fla_buffC
9412003,5,33,3,fla_buffB
9212001,6,33,6,fla_buffD
9212002,3,33,5,fla_buffC
9212003,5,33,3,fla_buffB
99040041,6,100,6,fla_buffB
3030121,6,40,6,fla_buffD
3030122,3,40,5,fla_buffC
3030123,5,30,3,fla_buffB
3030131,6,40,6,fla_buffD
3030132,3,40,5,fla_buffC
3030133,5,30,3,fla_buffB
3040011,6,40,6,fla_buffD
3040012,3,40,5,fla_buffC
3040013,5,30,3,fla_buffB
3050142,6,40,6,fla_buffD
3050142,3,40,5,fla_buffC
3050143,5,30,3,fla_buffB
3060111,6,40,6,fla_buffD
3060112,3,40,5,fla_buffC
3060113,5,30,3,fla_buffB
3120191,6,40,6,fla_buffD
3120192,3,40,5,fla_buffC
3120193,5,30,3,fla_buffB
3140191,6,40,6,fla_buffD
3140192,3,40,5,fla_buffC
3140193,5,30,3,fla_buffB
3140201,6,40,6,fla_buffD
3140202,3,40,5,fla_buffC
3140203,5,30,3,fla_buffB
2200001,6,25,6,fla_buffD
2200003,3,25,5,fla_buffC
2200005,5,50,3,fla_buffB
2230001,6,40,6,fla_buffD
2230003,3,20,5,fla_buffC
2230005,5,40,3,fla_buffB
2270001,6,20,6,fla_buffD
2270003,3,40,5,fla_buffC
2270005,5,40,3,fla_buffB
2280001,6,20,6,fla_buffD
2280003,3,40,5,fla_buffC
2280005,5,40,3,fla_buffB
2300001,6,20,6,fla_buffD
2300003,3,40,5,fla_buffC
2300005,5,40,3,fla_buffB
2310001,6,20,6,fla_buffD
2310003,3,40,5,fla_buffC
2310005,5,40,3,fla_buffB
2330001,6,20,6,fla_buffD
2330003,3,40,5,fla_buffC
2330005,5,40,3,fla_buffB
2340001,6,20,6,fla_buffD
2340003,3,40,5,fla_buffC
2340005,5,40,3,fla_buffB
2350001,6,20,6,fla_buffD
2350003,3,40,5,fla_buffC
2350005,5,40,3,fla_buffB
9216001,6,50,6,fla_buffD
9216002,3,50,5,fla_buffC
9215001,6,50,6,fla_buffD
9215002,3,50,5,fla_buffC
2150001,6,33,6,fla_buffC
2150002,3,33,5,fla_buffD
2150003,5,33,3,fla_buffC
3160001,6,25,6,fla_buffD
3160003,3,25,5,fla_buffC
3160005,5,50,3,fla_buffB
3170001,6,25,6,fla_buffD
3170003,3,25,5,fla_buffC
3170005,5,50,3,fla_buffB
3180001,6,25,6,fla_buffD
3180003,3,25,5,fla_buffC
3180005,5,50,3,fla_buffB
3190001,6,25,6,fla_buffD
3190003,3,25,5,fla_buffC
3190005,5,50,3,fla_buffB
3200001,6,25,6,fla_buffD
3200003,3,25,5,fla_buffC
3200005,5,50,3,fla_buffB
3220001,6,25,6,fla_buffD
3220003,3,25,5,fla_buffC
3220005,5,50,3,fla_buffB
3230001,6,25,6,fla_buffD
3230003,3,25,5,fla_buffC
3230005,5,50,3,fla_buffB
3240001,6,25,6,fla_buffD
3240003,3,25,5,fla_buffC
3240005,5,50,3,fla_buffB
3250001,6,25,6,fla_buffD
3250003,3,25,5,fla_buffC
3250005,5,50,3,fla_buffB
3270001,6,25,6,fla_buffD
3270003,3,25,5,fla_buffC
3270005,5,50,3,fla_buffB
3280001,6,25,6,fla_buffD
3280003,3,25,5,fla_buffC
3280005,5,50,3,fla_buffB
3290001,6,25,6,fla_buffD
3290003,3,25,5,fla_buffC
3290005,5,50,3,fla_buffB
3310001,6,25,6,fla_buffD
3310003,3,25,5,fla_buffC
3310005,5,50,3,fla_buffB
3320001,6,25,6,fla_buffD
3320003,3,25,5,fla_buffC
3320005,5,50,3,fla_buffB
3340001,6,25,6,fla_buffD
3340003,3,25,5,fla_buffC
3340005,5,50,3,fla_buffB
4081001,1,25,6,fla_buffD
4081003,3,25,5,fla_buffC
4081005,5,50,3,fla_buffB
4111001,1,25,6,fla_buffD
4111003,3,25,5,fla_buffC
4111005,5,50,3,fla_buffB
4112001,1,25,6,fla_buffD
4112003,3,25,5,fla_buffC
4112005,5,50,3,fla_buffB
4121001,1,25,6,fla_buffD
4121003,3,25,5,fla_buffC
4121005,5,50,3,fla_buffB
4122001,1,25,6,fla_buffD
4122003,3,25,5,fla_buffC
4122005,5,50,3,fla_buffB
4131001,1,25,6,fla_buffD
4131003,3,25,5,fla_buffC
4131005,5,50,3,fla_buffB
4132001,1,25,6,fla_buffD
4132003,3,25,5,fla_buffC
4132005,5,50,3,fla_buffB
4141001,1,25,6,fla_buffD
4141003,3,25,5,fla_buffC
4141005,5,50,3,fla_buffB
4142001,1,25,6,fla_buffD
4142003,3,25,5,fla_buffC
4142005,5,50,3,fla_buffB
4151001,1,25,6,fla_buffD
4151003,3,25,5,fla_buffC
4151005,5,50,3,fla_buffB
4152001,1,25,6,fla_buffD
4152003,3,25,5,fla_buffC
4152005,5,50,3,fla_buffB
4181001,1,25,6,fla_buffD
4181003,3,25,5,fla_buffC
4181005,5,50,3,fla_buffB
4191001,1,25,6,fla_buffD
4191003,3,25,5,fla_buffC
4191005,5,50,3,fla_buffB
4211001,1,25,6,fla_buffD
4211003,3,25,5,fla_buffC
4211005,5,50,3,fla_buffB
4221001,1,25,6,fla_buffD
4221003,3,25,5,fla_buffC
4221005,5,50,3,fla_buffB
4231001,1,25,6,fla_buffD
4231003,3,25,5,fla_buffC
4231005,5,50,3,fla_buffB
