Id,Module,Category,Condition,Award,Describe,TaskName,AddNum,icon
83,2,3,2#10#200,15,累计使用对战道具200次,土豪2,0,2
84,2,3,2#10#300,20,累计使用对战道具300次,土豪3,0,3
85,2,3,2#10#500,30,累计使用对战道具500次,土豪4,0,3
86,2,3,2#10#1000,50,累计使用对战道具1000次,土豪5,0,3
87,2,3,2#13#3,2,累计完成每日任务3次,任务达人1,15203,1
88,2,3,2#13#6,2,累计完成每日任务6次,任务达人2,10503,1
89,2,3,2#13#15,5,累计完成每日任务15次,任务达人3,6502,1
90,2,3,2#13#36,10,累计完成每日任务36次,任务达人4,1046,2
91,2,3,2#13#50,10,累计完成每日任务50次,任务达人5,125,2
92,2,3,2#13#100,15,累计完成每日任务100次,任务达人6,0,2
93,2,3,2#13#200,20,累计完成每日任务200次,任务达人7,0,3
94,2,3,2#13#300,20,累计完成每日任务300次,任务达人8,0,3
95,2,3,2#13#500,50,累计完成每日任务500次,任务达人9,0,3
96,2,3,2#13#999,50,累计完成每日任务999次,任务达人10,0,3
97,2,3,2#12#1000,2,累计获得1000点荣誉值,荣誉达人1,8446,1
98,2,3,2#12#3000,2,累计获得3000点荣誉值,荣誉达人2,4543,1
99,2,3,2#12#12000,5,累计获得12000点荣誉值,荣誉达人3,2124,1
100,2,3,2#12#35000,10,累计获得35000点荣誉值,荣誉达人4,0,1
101,2,3,2#12#50000,10,累计获得50000点荣誉值,荣誉达人5,0,2
102,2,3,2#12#70000,15,累计获得70000点荣誉值,荣誉达人6,0,2
103,2,3,2#12#100000,20,累计获得100000点荣誉值,荣誉达人7,0,2
104,2,3,2#12#200000,20,累计获得200000点荣誉值,荣誉达人8,0,3
105,2,3,2#12#500000,50,累计获得500000点荣誉值,荣誉达人9,0,3
