id,name,score,skinData,assitData,glyphsData,icon,winCount,rate,realScore
204,黛布贝蒂,1693,1,101001;1,10101;20102;20401;40102;40201;40403,6,0,20,1593
205,N-休利特,1672,3,101001;1,10302;20201;20301;40201;40405,2,3,24,1572
206,莉雅艾萨克,1652,2,101001;1,10302;10401;20102;20201;20301;20401;40101;40401,12,0,25,1552
207,莉娜胡佛,1602,1,101001;1,10201;20201;20301;20401;40101;40201;40404,2,2,40,1502
208,温妮托兰,1655,1,101001;1,10101;10201;10301;10401;20201;20301;40404,18,1,32,1555
209,凯西梅琳达,1673,2,101001;1,10102;10302;10401;20102;20201;20301;40101,8,0,29,1573
210,朱迪哈该,1672,2,101001;1,10201;10301;20102;20201;40301;40404,1,3,30,1572
211,朱娅克拉拉,1621,2,101001;1,10101;10302;10401;20101;20201;20301;20401;40101;40401,18,2,49,1521
212,珍妮哈金斯,1638,2,101001;1,10102;10201;10301;20102;20401;40403,9,2,38,1538
213,德拉米莉,1691,2,101001;1,10102;20201;20301;20401;40101;40201;40403,7,1,29,1591
214,S-布赖特,1656,5,101001;1,10102;20101;20201;20301;40102;40201;40402,16,2,27,1556
215,雪莉胡佛,1615,2,101001;1,10302;20102;20201;20401;40201;40301;40402,9,1,27,1515
216,尤达艾达,1667,2,101001;1,10102;10201;10302;20101;20301;20401;40402,9,2,45,1567
217,莉迪凯茜,1613,3,101001;1,10401;20102;20201;20401;40201;40404,15,1,35,1513
218,A佩德,1669,2,101001;1,10101;20101;20201;20301;20401;40201;40301;40403,10,0,40,1569
219,萨保拉,1700,1,101001;1,10102;10302;20102;20201;20301;20401;40101,9,2,47,1600
220,爱尔索尼亚,1649,2,101001;1,10101;10201;10301;20301;20401;40102;40301;40402,11,1,36,1549
221,凯琳伊迪萨,1633,3,101001;1,10201;10302;10401;20201;40201;40404,4,2,27,1533
222,U-埃伦,1629,4,101001;1,10102;10301;10401;20102;20301;20401;40102,6,2,40,1529
223,塞琳豪斯曼,1643,4,101001;1,10101;10302;20102;20301;40102;40201;40401,8,3,36,1543
224,G曼迪,1643,2,101001;1,10101;10201;10302;20102;20301;20401;40101;40301,7,1,37,1543
225,克莱比尔,1671,4,101001;1,10102;10201;20101;20201;20301;40101;40201;40301;40401,9,1,23,1571
226,格拉罗瑟琳,1693,5,101001;1,10101;10401;20102;20201;20401;40102;40201;40301,3,1,34,1593
227,米歇欧文,1642,1,101001;1,10102;10302;20102;20201;40301;40402,12,1,22,1542
228,塔娅克拉克,1609,2,101001;1,10302;10401;20102;20301;20401;40301;40402,14,3,23,1509
229,朱迪佩特,1633,1,101001;1,10101;20201;40102;40406,7,3,35,1533
230,P-伍利,1697,5,101001;1,10101;10301;20201;20401;40201;40301;40404,15,3,48,1597
231,U-科克尔,1674,1,101001;1,10302;10401;40101;40201;40301;40404,7,3,47,1574
232,Z雷切尔,1635,1,101001;1,10102;10201;10301;20102;40102;40301;40401,17,2,42,1535
233,米娜南茜,1692,2,101001;1,10102;10201;10302;20101;20201;40102;40201,18,3,49,1592
234,伦达司各脱,1687,5,101001;1,10102;10301;20101;20201;20301;40102;40201;40401,12,1,27,1587
235,丝汀沃特斯,1648,2,101001;1,10101;10201;10401;20101;20201;20401;40101;40201;40301;40401,9,1,47,1548
236,柏莎卡罗琳,1619,2,101001;1,10102;10302;20101;20201;20401;40301;40402,2,3,29,1519
237,萨汉萨,1650,2,101001;1,10201;10302;20102;20201;20401;40403,9,3,47,1550
238,德洛基茨,1674,1,101001;1,10102;10201;10302;10401;20102;20201;20301,18,2,30,1574
239,莉兹伯克,1672,4,101001;1,10101;10201;10301;10401;20102;20401;40102;40201,18,3,30,1572
240,安德伍尔夫,1630,4,101001;1,10302;20101;20401;40406,13,1,22,1530
241,O罗伯逊,1600,2,101001;1,10101;10301;20201;40102;40405,5,1,41,1500
242,Q-伊迪丝,1657,4,101001;1,10101;10201;10302;10401;20101;20401;40201;40402,3,1,47,1557
243,D菲尔德,1608,2,101001;1,10101;10301;10401;20101;20401;40101;40201;40403,5,2,48,1508
244,Z夏洛蒂,1657,5,101001;1,10101;10201;10301;10401;20101;40405,3,0,27,1557
245,娜o,1690,5,101001;1,10302;20101;20201;20301;40101;40201;40301;40402,1,2,47,1590
246,翠得季星,1675,3,101001;1,10102;10201;10301;20201;20301;40102;40201;40301,18,2,47,1575
247,紸锭菲奥纳,1689,3,101001;1,10102;10301;10401;20101;40101;40201;40403,11,2,20,1589
248,布蓝q,1614,1,101001;1,10201;10301;20101;20301;40102;40201;40301;40402,2,1,46,1514
249,詹弗邓巴,1692,1,101001;1,10102;10201;10302;20101;20301;20401;40101;40201,1,0,28,1592
250,X-辛克莱,1688,2,101001;1,10102;10301;20102;20201;20401;40101;40402,15,3,40,1588
251,洛蒂埃莉诺,1600,2,101001;1,10102;10201;10301;10401;20102;20301;20401;40201,3,2,39,1500
252,L威拉德,1659,2,101001;1,10102;10302;10401;20101;40201;40301;40402,6,2,26,1559
253,X汤姆森,1665,3,101001;1,10101;10401;20101;20301;40406,16,0,23,1565
254,汉娜-x,1651,4,101001;1,10101;10301;10401;20102;20201;40201;40403,7,2,32,1551
255,安东诺埃尔,1664,3,101001;1,10101;10302;10401;20102;20201;20401;40101;40401,5,0,21,1564
256,凯琳杰克,1636,3,101001;1,10102;10201;10301;10401;20102;20201;20301;40102,1,1,48,1536
257,布鲁比尤莱,1670,2,101001;1,10102;10401;20101;20201;20301;40101;40301;40402,18,1,23,1570
258,艾琳哈里,1652,2,101001;1,10101;10201;10301;10401;20101;40101;40301;40403,4,2,36,1552
259,科瑞温妮,1648,5,101001;1,10301;10401;20101;40201;40406,8,3,30,1548
260,芬妮戴维,1639,5,101001;1,10102;10201;10301;10401;20201;20301;40102;40401,16,0,37,1539
261,克莉加布尔,1653,1,101001;1,10302;10401;20102;20201;40201;40301;40402,1,2,27,1553
262,X爱丽丝,1675,4,101001;1,10101;10201;10301;10401;20102;20301;40301;40402,8,0,34,1575
263,天平普里策,1656,5,101001;1,10102;10201;10302;20101;20201;40403,6,3,29,1556
264,佐伊特雷西,1665,5,101001;1,10102;10201;10401;20101;20301;40101;40201;40402,14,2,22,1565
265,苏珊利科克,1622,2,101001;1,10101;10201;20102;20201;20301;40102;40301;40401,4,3,49,1522
266,奥琳汤普森,1660,5,101001;1,10102;10302;10401;20101;20201;20301;20401;40201,18,2,34,1560
267,姬尔安,1637,1,101001;1,10102;10301;20101;20201;40102;40403,4,0,30,1537
268,汉娜乔纳,1661,4,101001;1,10101;10201;10302;20102;20401;40101;40301;40401,4,3,31,1561
269,C-塞尔玛,1697,1,101001;1,10101;10301;20102;20201;20301;20401;40101;40402,10,1,35,1597
270,瑞丝凯瑟琳,1687,4,101001;1,10302;20101;20201;40102;40301;40403,6,3,31,1587
271,梅瑞-h,1643,4,101001;1,10201;10302;10401;20201;20401;40201;40403,15,2,20,1543
272,安贝沃利斯,1630,1,101001;1,10102;40101;40201;40406,6,0,44,1530
273,雪莉乔舒亚,1686,4,101001;1,10101;10302;10401;20101;20201;20401;40102;40301,4,2,36,1586
274,爱尔劳埃德,1613,2,101001;1,10102;10201;20201;40101;40405,10,3,35,1513
275,塔娅凯西,1639,5,101001;1,10102;10201;10302;10401;20101;20301;40101;40201,6,1,20,1539
276,夏洛丘奇,1616,5,101001;1,10102;10302;20201;40102;40301;40402,17,1,44,1516
277,天平怀尔德,1636,1,101001;1,10201;20101;20201;20401;40101;40301;40404,12,3,46,1536
278,兰特埃利诺,1682,4,101001;1,10302;10401;20102;20301;40101;40403,16,1,30,1582
279,罗丝-g,1686,3,101001;1,10101;10201;10301;10401;20102;20201;20301;20401;40401,15,3,25,1586
280,克劳安拉,1624,4,101001;1,10102;10301;10401;20102;20401;40101;40201;40401,17,1,42,1524
281,苏珊坦尼森,1686,2,101001;1,10101;20101;20401;40101;40201;40405,13,2,22,1586
282,南茜范妮,1650,5,101001;1,10102;10302;20102;20201;20401;40101;40201,12,3,26,1550
283,莰蒂耶茨,1632,1,101001;1,10201;10301;20201;20301;20401;40101;40201;40403,16,0,33,1532
284,维亚博斯韦尔,1602,2,101001;1,10101;10301;40101;40201;40406,4,0,47,1502
285,妮莎卡拉,1684,2,101001;1,10102;10301;20101;20301;20401;40102;40201;40301,1,2,22,1584
286,康斯戴维,1611,3,101001;1,10101;10301;10401;40101;40301;40405,2,1,40,1511
287,卡骚塞,1666,3,101001;1,10101;10401;20102;20201;20401;40101;40201;40301;40401,18,2,23,1566
288,奥尔_背叛,1622,2,101001;1,10102;10302;20101;40102;40201;40402,10,2,31,1522
289,詹米巴克耳,1601,5,101001;1,10102;10401;20201;40101;40405,13,1,46,1501
290,紸锭詹宁斯,1647,5,101001;1,10102;10302;20201;20301;20401;40102;40301,15,3,23,1547
291,雪莉布赖恩,1667,1,101001;1,10102;20101;20301;40102;40301;40403,17,2,25,1567
292,艾达琼,1630,3,101001;1,10102;10201;20102;40405,1,0,48,1530
293,伦达赫斯特,1687,1,101001;1,10102;10201;20102;20401;40201;40301;40402,17,1,47,1587
294,A-萨默,1685,2,101001;1,10102;10301;10401;20101;20201;40102;40301;40401,5,1,22,1585
295,戴茜福勒,1605,2,101001;1,10102;10301;20101;20201;20301;20401;40101;40201;40301,15,2,22,1505
296,N休,1670,5,101001;1,10401;20102;20201;20401;40102;40201;40301;40401,18,1,48,1570
297,乔斯吉布森,1671,1,101001;1,10102;10301;10401;20201;20401;40301;40403,6,1,20,1571
298,坦丝福克纳,1613,5,101001;1,20101;40301;40407,3,1,47,1513
299,艾琳格兰特,1649,4,101001;1,10102;10201;20201;20301;20401;40102;40301;40401,2,0,42,1549
300,坦斯皮尔斯,1601,5,101001;1,10102;20201;20301;40102;40301;40403,3,0,31,1501
301,娜莉玛克辛,1623,3,101001;1,10102;10201;10302;20201;20401;40201;40402,18,3,36,1523
302,埃拉旺达,1682,2,101001;1,10101;10201;10301;10401;20102;20401;40101;40201;40401,18,1,34,1582
303,拉图尔斯,1662,4,101001;1,10101;10201;10401;20101;20201;40102;40201;40402,9,0,46,1562
304,艾米肖,1687,4,101001;1,10201;10301;20102;20201;20301;40102;40301;40401,5,3,48,1587
305,爱伦伯恩,1682,3,101001;1,10101;10201;10301;20102;20301;20401;40102;40201,3,3,39,1582
306,菲比夏芝,1662,4,101001;1,10101;10302;10401;20201;40405,5,1,28,1562
307,可妮梅莉,1613,5,101001;1,10301;10401;40102;40301;40405,9,1,46,1513
308,艾莉吉尔,1620,3,101001;1,10201;40301;40407,14,1,40,1520
309,凯瑟戴西,1643,3,101001;1,10102;10302;10401;20301;20401;40201;40402,8,1,21,1543
310,露妮摩利,1620,3,101001;1,10102;10201;10301;20101;40102;40201;40301;40401,10,0,24,1520
311,K-希尔,1646,4,101001;1,10201;10301;10401;20101;20201;20301;40101;40201;40301;40401,11,3,46,1546
312,C基蒂,1697,1,101001;1,10101;10201;10302;10401;20101;20201;40102;40301,16,1,27,1597
313,艾咪胡德,1666,3,101001;1,10201;10401;20201;20301;40102;40201;40403,8,0,40,1566
314,格罗贝洛克,1692,2,101001;1,10201;10401;20102;20201;20301;40102;40201;40401,17,1,20,1592
315,菲比马修,1627,3,101001;1,10101;10201;10301;20301;20401;40102;40301;40402,6,0,22,1527
316,卡拉杰里,1658,3,101001;1,10101;10301;10401;20301;20401;40102;40301;40402,13,0,40,1558
317,梅利奈尔孙,1642,5,101001;1,10101;10201;10301;10401;20102;20201;20301;20401;40101,5,0,23,1542
318,格拉戈德温,1686,1,101001;1,10102;10201;10302;10401;20102;20201;20301,12,3,40,1586
319,伊妮林德,1670,1,101001;1,10101;20301;20401;40101;40406,3,0,31,1570
320,戴茜尼科尔,1695,4,101001;1,10201;10302;10401;20102;20201;20401;40201;40401,14,3,28,1595
321,蒂娜罗斯福,1682,4,101001;1,10102;10201;10401;20201;20301;20401;40101;40402,3,3,31,1582
322,邦妮巴克,1700,2,101001;1,10302;10401;20101;20201;20301;40101;40403,9,3,46,1600
323,莉雅坦尼森,1682,4,101001;1,10102;10201;20102;20201;40404,7,3,24,1582
324,爱玛海明威,1691,3,101001;1,10301;10401;20102;20401;40101;40404,14,0,44,1591
325,克劳娜塔莉,1604,5,101001;1,10101;20102;20401;40101;40301;40404,14,2,26,1504
326,菲洛切尔西,1682,2,101001;1,10302;10401;20102;20201;20301;40201;40301;40401,4,0,22,1582
327,Q-杜威,1653,2,101001;1,10201;10302;10401;20102;20301;40201;40301;40401,9,2,34,1553
328,洛蒂皮特曼,1643,1,101001;1,10302;10401;20201;40406,5,1,20,1543
329,艾丝坦尼森,1693,5,101001;1,10301;20201;20401;40201;40406,13,2,45,1593
330,雪莉苔丝,1657,1,101001;1,10101;20102;20401;40102;40301;40403,4,1,39,1557
331,克莉凯特,1630,2,101001;1,10101;20201;20301;40101;40201;40405,7,2,33,1530
332,Q-希拉,1613,5,101001;1,10102;10301;10401;20101;20301;20401;40102;40201,15,1,38,1513
333,柏塔贝基,1658,1,101001;1,10101;10201;20101;20301;40101;40201;40301;40403,6,3,46,1558
334,莫琳埃文思,1609,5,101001;1,10102;10201;10301;20101;20201;20301;20401;40102,12,2,47,1509
335,布蓝埃尔莎,1639,3,101001;1,10102;10201;10302;20102;20201;40102,15,1,40,1539
336,P库克,1678,3,101001;1,10101;10301;10401;20102;20201;20301;20401;40101;40201,5,3,33,1578
337,莎莉丹尼尔,1600,3,101001;1,10102;10201;10401;20102;40404,4,3,22,1500
338,爱勒苏拉,1639,1,101001;1,10301;20102;20201;20301;20401;40101;40301;40402,5,2,46,1539
339,海娜邓巴,1683,2,101001;1,10101;10201;10301;10401;20102;20401;40201;40402,2,1,46,1583
340,格瑞克雷吉,1603,2,101001;1,10102;20101;40101;40406,1,0,36,1503
341,克劳巴特勒,1695,4,101001;1,10102;10201;10302;10401;20102;20201;20301,17,1,29,1595
342,伊芙尼古拉,1613,3,101001;1,10101;10301;20401;40101;40201;40405,1,1,37,1513
343,雪丽丹尼斯,1621,3,101001;1,10102;10302;10401;20301;40201;40301;40402,5,1,44,1521
344,德拉卢修斯,1653,2,101001;1,10301;10401;20401;40301;40406,16,2,24,1553
345,伊娃托比,1694,2,101001;1,10201;10401;20102;20201;20401;40102;40201;40301,9,1,38,1594
346,艾琳奥利弗,1677,2,101001;1,10101;10401;20201;20301;40102;40404,2,0,27,1577
347,罗丝维姬,1671,2,101001;1,10302;20101;20301;40101;40405,1,1,39,1571
348,尼弗琳,1672,4,101001;1,10102;10201;10301;10401;20102;20201;20301;40101,18,2,21,1572
349,朱娅哈尔,1633,5,101001;1,10201;10302;20102;20301;20401;40101;40201;40301,18,1,38,1533
350,莉雅蔡尔德,1601,5,101001;1,10101;10201;20101;20201;40101;40201;40301;40403,3,3,48,1501
351,E-伍利,1694,5,101001;1,10102;10301;20101;20201;20301;40102;40201;40301,4,0,26,1594
352,克拉-v,1659,1,101001;1,10101;10201;20201;20301;40406,16,2,49,1559
353,丝特坎普,1651,2,101001;1,10401;20201;20301;20401;40101;40301;40404,15,2,34,1551
354,A普尔曼,1623,5,101001;1,10102;10302;20102;20301;20401;40102,12,0,43,1523
355,克莉切莉,1660,5,101001;1,10102;10201;20101;40101;40201;40404,6,1,40,1560
356,卡洛马尔茨,1616,3,101001;1,10101;10201;10302;10401;20101;20301;40201;40402,4,2,47,1516
357,爱伦菲比,1680,2,101001;1,10101;10401;40102;40406,12,2,49,1580
358,维多葛德文,1643,5,101001;1,10201;10301;20401;40101;40406,14,0,32,1543
359,塞琳-y,1640,1,101001;1,10102;10201;20301;20401;40201;40301;40403,17,3,26,1540
360,奥萝萨姆,1680,2,101001;1,10102;10201;40102;40301;40404,8,1,41,1580
361,艾丝埃文思,1668,4,101001;1,10302;10401;20101;20401;40102;40201;40301;40401,3,3,41,1568
362,落泪罗塞蒂,1659,1,101001;1,10102;10201;10301;10401;20102;20201;20401;40201,6,2,20,1559
363,切西温妮,1693,3,101001;1,10101;10401;20102;40101;40301;40404,4,1,39,1593
364,爱沙赫蒂,1614,1,101001;1,10101;10201;20102;40406,6,0,43,1514
365,雅典加登,1660,3,101001;1,10102;10301;20101;20201;20401;40102;40201;40401,7,1,40,1560
366,蕶喥兰登,1609,2,101001;1,10301;20102;20201;20301;20401;40404,5,1,47,1509
367,凯丝罗兰,1608,3,101001;1,10102;10302;20102;20401;40102;40201,10,3,20,1508
368,亚桑霍雷肖,1616,5,101001;1,10101;10201;10301;10401;20102;20201;20301;20401;40101,6,3,23,1516
369,安德贝尔,1663,4,101001;1,10102;10201;10302;10401;20101;20201;20401;40201,14,1,21,1563
370,西拉杰姆斯,1644,2,101001;1,10301;10401;20101;20301;40101;40201;40404,5,2,20,1544
371,瑞娜瑞加娜,1651,1,101001;1,10102;10302;10401;20102;20301;40101;40301,2,3,49,1551
372,西亚紸锭,1664,3,101001;1,10302;10401;20401;40101;40201;40301;40403,2,0,26,1564
373,瑞丝贝蒂,1685,5,101001;1,10201;10301;20102;20201;20401;40301;40403,13,3,22,1585
374,凯丽斯特朗,1676,5,101001;1,10102;10201;10401;40102;40301;40403,12,3,32,1576
375,斯蒂普尔曼,1616,3,101001;1,10101;10201;10302;20301;40201;40404,13,1,26,1516
376,汉娜奥德莉,1666,4,101001;1,10102;20201;20301;20401;40101;40404,4,3,45,1566
377,狄斯赖特,1669,5,101001;1,10102;10302;10401;20301;40102;40201;40401,2,0,39,1569
378,朱蒂莫尔,1655,4,101001;1,10101;10201;20102;20201;20301;40102;40201;40301,2,1,46,1555
379,翠得阿曼达,1677,4,101001;1,10201;10401;20102;20201;40101;40201;40403,2,3,28,1577
380,阿德-c,1660,1,101001;1,10201;10301;10401;20102;40405,4,2,26,1560
381,阿达海登,1618,3,101001;1,10102;10401;20201;20401;40101;40201;40301;40402,8,1,27,1518
382,塔娅夏洛特,1621,4,101001;1,10201;40102;40201;40301;40405,1,2,35,1521
383,V劳埃德,1692,3,101001;1,10101;10302;20301;20401;40201;40301;40403,12,1,30,1592
384,凯西考珀,1679,5,101001;1,10101;10201;10301;40102;40301;40404,3,0,28,1579
385,柏塔理查,1648,4,101001;1,20101;20201;20301;20401;40102;40404,7,3,28,1548
386,丝特爱丽丝,1675,4,101001;1,10102;10201;10302;20102;20201;20401;40102,11,2,38,1575
387,凯瑟卡洛儿,1643,4,101001;1,10102;10201;10301;10401;20101;20301;20401;40102,7,2,29,1543
388,辛迪米歇尔,1672,1,101001;1,10201;10302;20102;20401;40102;40301;40401,7,0,41,1572
389,B格雷,1643,2,101001;1,10102;10301;10401;40301;40405,9,2,37,1543
390,杰卡凯西,1675,2,101001;1,10102;10301;10401;20102;40102;40301;40401,9,1,39,1575
391,琪黛米,1639,3,101001;1,10102;10301;20201;20301;20401;40102;40402,9,3,23,1539
392,安贝哈金斯,1617,4,101001;1,10102;20401;40101;40201;40405,6,2,22,1517
393,瑞娜华莱土,1688,1,101001;1,20102;20301;20401;40102;40301;40403,15,2,42,1588
394,斯蒂摩根,1647,4,101001;1,10101;10302;10401;20301;20401;40101;40403,17,2,45,1547
395,弗郎爱丽丝,1678,5,101001;1,10101;10201;10401;20101;40101;40201;40301;40403,2,2,41,1578
396,W博斯韦尔,1697,2,101001;1,10101;10201;10302;20101;20201;20401;40102;40301,8,3,26,1597
