id,diamond,manual,energy,roomcard,honor,badge,items,item1,item2,item3,item4,item5,text,origin
421,0,0,0,0,0,0,,80111+1,,,,,荣誉商店PVE随机包,
422,0,0,0,0,0,0,,80112+1,,,,,荣誉商店PVP随机包,
423,0,0,0,0,0,0,,10010+3,10001+3,10006+3,10007+3,10009+3,战斗礼包,
424,0,50,0,5,0,0,,10008+5,30008+5,,,,狂欢礼包,
425,0,50,0,0,0,0,,10001+3,30001+3,10006+3,30006+3,,进阶礼包,
426,0,0,0,0,0,0,,10001+3,100001+10,100008+3,10010+2,,累充奖励1,
427,0,0,0,0,0,0,,10006+4,10001+4,100014+2,100009+3,,累充奖励2,
428,0,0,0,0,0,0,,100002+5,100003+5,100004+5,100005+5,100001+10,主厨礼包,
429,0,0,0,0,0,0,,100008+5,100009+5,100017+5,100018+5,100001+10,厨神礼包,
501,80,0,0,0,0,0,,10006+3,10002+5,,,,,
502,80,0,0,0,0,0,,10001+3,10002+5,,,,,
503,80,0,0,0,0,0,,10006+3,10004+5,,,,,
504,80,0,0,0,0,0,,10006+3,10003+5,,,,,
505,80,0,0,0,0,0,,10007+3,10001+3,,,,,
506,60,0,0,0,0,0,,10001+3,10007+3,,,,,
507,30,0,0,0,0,0,,10007+3,10002+3,,,,,
508,50,0,0,0,0,0,,10001+3,10004+3,,,,,
509,50,0,0,0,0,0,,10006+3,10003+3,,,,,
510,80,0,0,0,0,0,,10001+3,10006+3,,,,,
511,50,0,0,0,0,0,,10007+3,10002+3,,,,,
512,80,0,0,0,0,0,,10001+3,10004+3,,,,,
513,100,0,0,0,0,0,,10006+3,10003+3,,,,,
514,300,0,0,0,0,0,,,,,,,,
515,0,0,0,0,850,0,,,,,,,限时活动奖励勇者之心,
516,0,0,0,0,0,0,,100100+50,,,,,限时活动奖励勇者之心,
517,0,0,0,0,900,0,,,,,,,限时活动奖励勇者之心,
518,0,0,0,0,0,0,,100100+55,,,,,限时活动奖励勇者之心,
519,0,0,0,0,1000,0,,,,,,,限时活动奖励勇者之心,
520,0,0,0,0,0,0,,100100+60,,,,,限时活动奖励勇者之心,
521,20,0,0,0,1250,0,,,,,,,限时活动奖励勇者之心,
522,0,0,0,0,0,0,,100111+2,,,,,狂欢周奖励,
523,0,0,0,0,0,0,,80111+6,,,,,狂欢周奖励,
524,0,0,0,0,0,0,,100101+2,,,,,狂欢周奖励,
525,0,0,0,0,0,0,,80111+8,,,,,狂欢周奖励,
526,0,0,0,0,0,0,,100111+5,,,,,狂欢周奖励,
527,0,0,0,0,0,0,,80111+10,,,,,狂欢周奖励,
528,20,0,0,0,0,0,,100101+5,,,,,狂欢周奖励,
529,0,0,0,0,850,0,,,,,,,限时活动奖励战斗狂人,
530,0,0,0,0,0,0,,80112+4,,,,,限时活动奖励战斗狂人,
531,0,0,0,0,900,0,,,,,,,限时活动奖励战斗狂人,
532,0,0,0,0,0,0,,80112+6,,,,,限时活动奖励战斗狂人,
533,0,0,0,0,1000,0,,,,,,,限时活动奖励战斗狂人,
534,0,0,0,0,0,0,,80112+10,,,,,限时活动奖励战斗狂人,
535,20,0,0,0,1250,0,,,,,,,限时活动奖励战斗狂人,
601,20,0,0,0,0,0,,10006+2,30009+2,,,,独家渠道,
602,0,0,0,2,0,0,,10010+1,30001+2,,,,渠道,
603,20,0,0,0,0,0,,30010+2,10001+2,,,,独家媒体,
604,0,0,0,2,0,0,,30006+2,10007+1,,,,媒体,
605,0,0,0,2,0,0,,10009+2,30001+2,,,,官网q群微信,
606,10,0,0,0,0,0,,10001+1,30008+2,,,,备用礼包1,
607,20,0,0,0,0,0,,10001+1,30009+2,,,,备用礼包2,
608,20,0,0,0,0,0,,10006+2,30001+2,,,,备用礼包3,
609,10,0,0,1,0,0,,10001+1,,,,,微信活动专用,
610,0,0,0,1,0,0,,10001+1,,,,,微信活动专用2,
701,0,0,0,0,0,0,,100001+5,100002+1,,,,满星礼包1,
702,0,0,0,0,0,0,,100001+10,100002+1,,,,满星礼包2,
703,0,0,0,0,0,0,,100001+10,100002+2,100003+2,,,满星礼包3,
704,0,0,0,0,0,0,,100001+15,100002+2,100003+2,,,满星礼包4,
705,0,0,0,0,0,0,,100001+15,100002+3,100003+3,,,满星礼包5,
706,0,0,0,0,0,0,,100001+20,100002+3,100003+3,,,满星礼包6,
707,0,0,0,0,0,0,,100001+25,100002+4,100003+4,,,满星礼包7,
708,0,0,0,0,0,0,,100001+30,100002+4,100003+4,,,满星礼包8,
709,0,0,0,0,0,0,,100001+30,100002+5,100003+5,,,满星礼包9,
710,0,0,0,0,0,0,,100001+35,100002+5,100003+5,,,满星礼包10,
711,0,0,0,0,0,0,,100001+40,100002+6,100003+6,,,满星礼包11,
712,0,0,0,0,0,0,,100001+45,100002+6,100003+6,,,满星礼包12,
713,0,0,0,0,0,0,,100001+45,100002+7,100003+7,,,满星礼包13,
714,0,0,0,0,0,0,,100001+35,,,,,满星礼包14,
715,0,0,0,0,0,0,,100001+52,,,,,满星礼包15,
716,0,0,0,0,0,0,,100001+47,100004+4,,,,满星礼包16,
717,0,0,0,0,0,0,,100001+60,100004+5,100005+6,,,满星礼包17,
718,0,0,0,0,0,0,,100001+90,100004+7,100005+9,,,满星礼包18,
719,0,0,0,0,0,0,,100001+72,100004+6,100005+7,,,满星礼包19,
720,0,0,0,0,0,0,,100001+108,100004+9,100005+10,,,满星礼包20,
721,0,0,0,0,0,0,,100001+85,100004+7,100005+8,,,满星礼包21,
722,0,0,0,0,0,0,,100001+127,100004+10,100005+12,,,满星礼包22,
723,0,0,0,0,0,0,,100001+110,100004+10,100005+9,,,满星礼包23,
724,0,0,0,0,0,0,,100001+165,100004+15,100005+13,,,满星礼包24,
725,0,0,0,0,0,0,,100001+122,100004+11,100005+10,,,满星礼包25,
726,0,0,0,0,0,0,,100001+183,100004+16,100005+15,,,满星礼包26,
727,0,0,0,0,0,0,,100001+25,100002+3,100003+3,,,满星礼包27,
728,0,0,0,0,0,0,,30001+1,,,,,满星礼包28,
729,0,0,0,0,0,0,,30007+2,,,,,满星礼包29,
730,0,0,0,0,0,0,,30008+2,,,,,满星礼包30,
999,0,0,0,0,0,0,,100100+1,,,,,引导,
801,0,0,0,0,0,0,,100001+5,,,,,日常任务VIP1每日礼包,
802,0,0,0,0,0,0,,100001+5,100014+1,,,,日常任务VIP2每日礼包,
803,0,0,0,0,0,0,,100001+10,100014+1,,,,日常任务VIP3每日礼包,
804,50,0,0,0,0,0,,,,,,,日常任务月卡钻石,
805,0,0,0,0,0,0,,10005+1,,,,,日常任务通关关卡,
806,0,0,0,0,0,0,,30008+1,,,,,日常任务领取体力,
807,0,0,0,0,0,0,,30001+1,,,,,日常任务PVP1次,
808,5,0,0,0,0,0,,,,,,,日常任务开房一次,
809,0,0,0,1,0,0,,,,,,,日常任务PK胜利,
810,0,0,0,0,0,0,,30007+1,,,,,日常任务连胜,
901,38,0,0,0,0,0,,,,,,,新手训练营钻石奖励1,
902,58,0,0,0,0,0,,,,,,,新手训练营钻石奖励2,
903,0,0,0,0,0,0,,,,,,,新手训练营钻石奖励3-钻石取消，改成时装，钻石数分配给奖励1和2,
904,0,0,0,0,0,5,,,,,,,新手勋章,
10001,0,0,0,0,188,0,,10010+2,,,,,元旦活动奖励2,
10002,0,0,0,0,168,0,,10008+2,,,,,元旦活动奖励1,
10003,0,0,0,0,228,0,,10001+2,,,,,元旦活动奖励3,
10004,0,0,0,0,268,0,,10009+2,,,,,元旦活动奖励4,
10005,0,0,0,0,288,0,,10007+2,,,,,元旦活动奖励5,
10006,0,0,0,0,318,0,,10006+2,,,,,元旦活动奖励6,
10007,100,0,0,0,368,0,,10010+3,,,,,元旦活动奖励7,
10008,50,0,0,0,418,0,,10007+3,,,,,元旦活动奖励8,
10009,80,0,0,0,488,0,,10001+3,,,,,元旦活动奖励9,
10010,100,0,0,0,688,0,,10006+3,,,,,元旦活动奖励10,
11001,0,0,0,0,0,0,,80104+1,,,,,情人节活动奖励1,
11002,0,0,0,0,0,0,,80105+1,,,,,情人节活动奖励2,
11003,0,0,0,0,0,0,,80106+1,,,,,情人节活动奖励3,
1000,0,0,0,0,0,0,,30006+1,,,,,引导增加辣椒,引导增加辣椒
1001,0,0,0,0,0,0,,30001+1,,,,,引导增加兵力包,引导增加兵力包
20101,0,50,0,0,0,0,,100111+2,100121+2,,,,PVE通关礼包,
20102,0,0,0,0,0,0,,100100+2,,,,,PVE通关礼包,
20103,0,0,0,0,0,0,,30001+2,30006+2,,,,PVE通关礼包,
20104,0,0,0,0,0,0,,100121+1,30007+2,,,,PVE通关礼包,
20105,0,0,0,0,0,0,,100100+3,100111+2,30006+2,,,PVE通关礼包,
20201,0,0,0,0,0,0,,100100+5,30006+1,,,,PVE通关礼包,
20202,0,0,0,0,0,0,,30001+2,30008+2,,,,PVE通关礼包,
20203,0,0,0,0,0,0,,100111+1,100121+2,,,,PVE通关礼包,
20204,0,0,0,0,0,0,,100100+7,30006+1,,,,PVE通关礼包,
20205,0,0,0,0,0,0,,30007+2,30010+2,,,,PVE通关礼包,
20206,0,0,0,0,0,0,,100100+12,100111+2,100121+2,,,PVE通关礼包,
20301,0,0,0,0,0,0,,100100+8,100111+2,,,,PVE通关礼包,
20302,0,0,0,0,0,0,,100111+3,100121+3,,,,PVE通关礼包,
20303,0,0,0,0,0,0,,100100+10,30008+2,30009+2,,,PVE通关礼包,
20304,0,0,0,0,0,0,,100111+2,100121+2,,,,PVE通关礼包,
20305,0,0,0,0,0,0,,100100+12,100121+2,,,,PVE通关礼包,
20306,0,0,0,0,0,0,,30007+2,30010+2,100100+18,,,PVE通关礼包,
20401,0,0,0,0,0,0,,100100+8,100121+3,,,,PVE通关礼包,
20402,0,0,0,0,0,0,,100111+2,30010+2,30008+2,,,PVE通关礼包,
20403,0,0,0,0,0,0,,100100+10,100121+2,,,,PVE通关礼包,
20404,0,0,0,0,0,0,,100111+3,30009+2,,,,PVE通关礼包,
20405,0,0,0,0,0,0,,100100+12,30007+2,,,,PVE通关礼包,
20406,0,0,0,0,0,0,,100100+18,100111+2,100121+2,,,PVE通关礼包,
30101,0,0,0,0,0,0,,100101+2,,,,,PVE三星礼包,
30102,0,0,0,0,0,0,,10001+1,30009+1,,,,PVE三星礼包,
30103,0,0,0,0,0,0,,100100+2,,,,,PVE三星礼包,
30104,0,0,0,0,0,0,,100101+3,,,,,PVE三星礼包,
30105,0,0,0,0,0,0,,10001+1,10006+1,,,,PVE三星礼包,
30106,0,0,0,0,0,0,,100100+3,,,,,PVE三星礼包,
30107,0,0,0,0,0,0,,100101+4,,,,,PVE三星礼包,
30201,0,0,0,0,0,0,,30008+2,30009+2,,,,PVE三星礼包,
30202,0,0,0,0,0,0,,100100+6,,,,,PVE三星礼包,
30203,0,0,0,0,0,0,,100101+3,,,,,PVE三星礼包,
30204,0,0,0,0,0,0,,30009+2,10001+2,,,,PVE三星礼包,
30205,0,0,0,0,0,0,,100100+10,,,,,PVE三星礼包,
30206,0,0,0,0,0,0,,100101+3,,,,,PVE三星礼包,
30207,0,0,0,0,0,0,,10006+2,10010+2,,,,PVE三星礼包,
30208,0,0,0,0,0,0,,100100+12,,,,,PVE三星礼包,
30301,0,0,0,0,0,0,,100101+3,,,,,PVE三星礼包,
30302,0,0,0,0,0,0,,10001+3,10006+3,,,,PVE三星礼包,
30303,0,0,0,0,0,0,,100100+8,,,,,PVE三星礼包,
30304,0,0,0,0,0,0,,100101+4,,,,,PVE三星礼包,
30305,0,0,0,0,0,0,,30001+3,30006+3,,,,PVE三星礼包,
30306,0,0,0,0,0,0,,100100+35,,,,,PVE三星礼包,
30307,0,0,0,0,0,0,,100101+5,,,,,PVE三星礼包,
30308,0,0,0,0,0,0,,30007+3,30010+3,100100+45,,,PVE三星礼包,
30401,0,0,0,0,0,0,,100100+8,,,,,PVE三星礼包,
30402,0,0,0,0,0,0,,100101+3,,,,,PVE三星礼包,
30403,0,0,0,0,0,0,,30006+3,30010+3,,,,PVE三星礼包,
30404,0,0,0,0,0,0,,100100+35,,,,,PVE三星礼包,
30405,0,0,0,0,0,0,,100101+4,,,,,PVE三星礼包,
30406,0,0,0,0,0,0,,10006+3,30007+3,,,,PVE三星礼包,
30407,0,0,0,0,0,0,,100100+45,30001+3,,,,PVE三星礼包,
30408,0,0,0,0,0,0,,100101+5,10001+3,,,,PVE三星礼包,
40101,0,0,0,0,0,0,,100100+3,,,,,章节评星礼包,
40102,0,0,0,0,0,0,,100112+2,,,,,章节评星礼包,
40103,0,0,0,0,0,0,,30001+3,,,,,章节评星礼包,
40104,0,0,0,0,0,0,,100100+7,,,,,章节评星礼包,
40105,0,0,0,0,0,0,,100112+3,,,,,章节评星礼包,
40106,0,0,0,0,0,0,,30006+3,,,,,章节评星礼包,
40107,0,0,0,0,0,0,,100100+10,,,,,章节评星礼包,
40201,0,0,0,0,0,0,,100112+3,,,,,章节评星礼包,
40202,0,0,0,0,0,0,,30007+3,,,,,章节评星礼包,
40203,0,0,0,0,0,0,,100100+7,,,,,章节评星礼包,
40204,0,0,0,0,0,0,,100112+4,,,,,章节评星礼包,
40205,0,0,0,0,0,0,,30006+3,,,,,章节评星礼包,
40206,0,0,0,0,0,0,,100100+10,,,,,章节评星礼包,
40207,0,0,0,0,0,0,,100112+5,,,,,章节评星礼包,
40208,0,0,0,0,0,0,,30010+3,,,,,章节评星礼包,
40209,0,0,0,0,0,0,,100100+20,,,,,章节评星礼包,
40301,0,0,0,0,0,0,,100112+3,,,,,章节评星礼包,
40302,0,0,0,0,0,0,,10006+3,,,,,章节评星礼包,
40303,0,0,0,0,0,0,,100100+7,,,,,章节评星礼包,
40304,0,0,0,0,0,0,,100112+4,,,,,章节评星礼包,
40305,0,0,0,0,0,0,,30006+4,,,,,章节评星礼包,
40306,0,0,0,0,0,0,,100100+10,,,,,章节评星礼包,
40307,0,0,0,0,0,0,,100112+5,,,,,章节评星礼包,
40308,0,0,0,0,0,0,,30007+4,,,,,章节评星礼包,
40309,0,0,0,0,0,0,,100100+24,,,,,章节评星礼包,
40401,0,0,0,0,0,0,,100112+3,,,,,章节评星礼包,
40402,0,0,0,0,0,0,,100100+7,,,,,章节评星礼包,
40403,0,0,0,0,0,0,,100112+4,,,,,章节评星礼包,
40404,0,0,0,0,0,0,,10006+3,,,,,章节评星礼包,
40405,0,0,0,0,0,0,,100100+10,,,,,章节评星礼包,
40406,0,0,0,0,0,0,,30007+4,,,,,章节评星礼包,
40407,0,0,0,0,0,0,,100112+5,,,,,章节评星礼包,
40408,0,0,0,0,0,0,,30006+4,,,,,章节评星礼包,
40409,0,0,0,0,0,0,,100100+24,,,,,章节评星礼包,
1501,0,0,0,0,0,0,,80111+5,,,,,荣誉商店PVE随机包,
1502,0,0,0,0,0,0,,80112+5,,,,,荣誉商店PVP随机包,
1511,0,0,0,0,0,0,,100100+4,,,,,随机任务1,
1512,0,0,0,0,0,0,,100100+5,,,,,随机任务2,
1513,0,0,0,0,0,0,,100100+6,,,,,随机任务3,
1551,0,0,0,0,0,0,,100100+3,,,,,随机任务宝箱1,
1552,0,0,0,0,0,0,,100100+3,30001+2,,,,随机任务宝箱1,
1553,0,0,0,0,0,0,,100100+3,30010+3,,,,随机任务宝箱1,
1554,0,0,0,0,0,0,,100100+3,30007+3,,,,随机任务宝箱1,
1555,0,0,0,0,0,0,,100100+3,30008+3,,,,随机任务宝箱1,
1556,0,0,0,0,0,0,,100100+3,30006+3,,,,随机任务宝箱1,
1557,0,0,0,0,0,0,,100100+3,,,,,随机任务宝箱2,
1558,0,0,0,0,0,0,,100100+3,100104+10,,,,随机任务宝箱2,
1559,0,0,0,0,0,0,,100100+3,10001+1,,,,随机任务宝箱2,
1560,0,0,0,0,0,0,,100100+3,10010+1,,,,随机任务宝箱2,
1561,0,0,0,0,0,0,,100100+3,10007+1,,,,随机任务宝箱2,
1562,0,0,0,0,0,0,,100100+3,10008+1,,,,随机任务宝箱2,
1563,0,0,0,0,0,0,,100100+3,10006+1,,,,随机任务宝箱2,
1564,0,0,0,0,0,0,,100100+3,100104+6,,,,随机任务宝箱2,
1565,0,0,0,0,0,0,,100100+3,100104+6,,,,随机任务宝箱2,
1566,0,0,0,0,0,0,,100100+3,100104+6,,,,随机任务宝箱2,
1567,0,0,0,0,0,0,,100100+3,100104+6,80201+1,,,随机任务宝箱2,
1568,0,0,0,1,0,0,,100100+3,100104+6,,,,随机任务宝箱2,
1569,20,0,0,0,0,0,,100100+3,100104+6,,,,随机任务宝箱2,
1570,0,0,0,0,0,0,,100100+3,100104+10,,,,随机任务宝箱3,
1571,0,0,0,0,0,0,,100100+3,100104+10,10001+1,,,随机任务宝箱3,
1572,0,0,0,0,0,0,,100100+3,100104+10,10010+1,,,随机任务宝箱3,
1573,0,0,0,0,0,0,,100100+3,100104+10,10007+1,,,随机任务宝箱3,
1574,0,0,0,0,0,0,,100100+3,100104+10,10008+1,,,随机任务宝箱3,
1575,0,0,0,0,0,0,,100100+3,100104+10,10006+1,,,随机任务宝箱3,
1576,0,0,0,1,0,0,,100100+3,100104+10,,,,随机任务宝箱3,
1577,0,0,0,0,0,0,,100100+3,100104+10,80202+1,,,随机任务宝箱3,
1578,50,0,0,0,0,0,,100100+3,100104+10,,,,随机任务宝箱3,
1579,0,0,0,0,0,0,,100100+3,80202+1,,,,随机任务宝箱3,
1580,0,0,0,1,0,0,,100100+3,,,,,随机任务宝箱3,
1581,50,0,0,0,0,0,,100100+3,,,,,随机任务宝箱3,
1582,0,0,0,0,60,0,,,,,,,微信分享奖励,
1583,0,0,0,0,80,0,,,,,,,微信分享奖励,
1584,0,0,0,0,120,0,,,,,,,微信分享奖励,
1585,0,0,0,0,100,0,,,,,,,微信分享奖励,
1586,0,0,0,0,0,0,,80111+3,,,,,微信分享奖励,
1587,0,0,0,0,0,0,,80112+1,,,,,微信分享奖励,
3501,0,25,0,0,0,0,,,,,,,七日任务1,
3502,18,0,0,0,480,0,,10010+3,,,,,七日任务2,
3503,0,0,0,0,0,0,,10001+2,10007+3,,,,七日任务3,
3504,0,0,0,0,0,0,,100111+2,100112+3,,,,七日任务4,
3505,0,0,0,0,0,0,,30008+2,30006+3,,,,七日任务5,
3506,0,0,0,0,0,0,,100121+2,100104+3,,,,七日任务6,
3507,18,0,0,0,660,0,,100100+30,,,,,七日任务7,
1701,200,0,0,0,0,0,,51001+3,,,,,巅峰排行1,
1702,200,0,0,0,0,0,,51001+3,,,,,巅峰排行2,
1703,200,0,0,0,0,0,,51001+3,,,,,巅峰排行3,
1704,200,0,0,0,800,0,,51001+1,,,,,巅峰排行4,
1705,150,0,0,0,700,0,,51001+1,,,,,巅峰排行5,
1706,120,0,0,0,600,0,,51001+1,,,,,巅峰排行6,
1707,100,0,0,0,500,0,,51001+1,,,,,巅峰排行7,
1708,80,0,0,0,400,0,,51001+1,,,,,巅峰排行8,
1709,60,0,0,0,300,0,,51001+1,,,,,巅峰排行9,
1710,50,0,0,0,200,0,,51001+1,,,,,巅峰排行10,
1711,200,0,0,0,0,0,,51001+3,,,,,巅峰排行1,
1712,200,0,0,0,0,0,,51001+3,,,,,巅峰排行2,
1713,200,0,0,0,0,0,,51001+3,,,,,巅峰排行3,
1714,200,0,0,0,800,0,,51001+1,,,,,巅峰排行4,
1715,150,0,0,0,700,0,,51001+1,,,,,巅峰排行5,
1716,120,0,0,0,600,0,,51001+1,,,,,巅峰排行6,
1717,100,0,0,0,500,0,,51001+1,,,,,巅峰排行7,
1718,80,0,0,0,400,0,,51001+1,,,,,巅峰排行8,
1719,60,0,0,0,300,0,,51001+1,,,,,巅峰排行9,
1720,50,0,0,0,200,0,,51001+1,,,,,巅峰排行10,
1721,200,0,0,0,0,0,,51001+3,,,,,巅峰排行1,
1722,200,0,0,0,0,0,,51001+3,,,,,巅峰排行2,
1723,200,0,0,0,0,0,,51001+3,,,,,巅峰排行3,
1724,200,0,0,0,800,0,,51001+1,,,,,巅峰排行4,
1725,150,0,0,0,700,0,,51001+1,,,,,巅峰排行5,
1726,120,0,0,0,600,0,,51001+1,,,,,巅峰排行6,
1727,100,0,0,0,500,0,,51001+1,,,,,巅峰排行7,
1728,80,0,0,0,400,0,,51001+1,,,,,巅峰排行8,
1729,60,0,0,0,300,0,,51001+1,,,,,巅峰排行9,
1730,50,0,0,0,200,0,,51001+1,,,,,巅峰排行10,
2001,0,0,0,0,200,0,,,,,,,贵族1礼包,
2002,0,0,0,0,300,0,,,,,,,贵族2礼包,
2003,0,0,0,0,600,0,,,,,,,贵族3礼包,
3001,0,0,0,0,0,0,,80111+2,,,,,心悦每日礼包,
3002,0,0,0,0,0,0,,80112+2,80201+5,,,,心悦每周礼包,
3003,0,0,0,0,3000,0,,70011+10,90001+1,,,,心悦充值礼包,
431,0,0,0,0,0,0,10010+2#10001+2#30006+2#70008+20#30008+2,,,,,,新版首充礼包,
441,0,0,0,0,0,0,70009+10#20004+600,,,,,,新版累计充值200钻,
442,0,0,0,0,0,0,70009+10#20004+800#90001+1,,,,,,新版累计充值500钻,
443,0,0,0,0,0,0,70009+10#20004+1000#90001+2,,,,,,新版累计充值800钻,
444,0,0,0,0,0,0,70009+12#20004+1200#90001+2,,,,,,新版累计充值1200钻,
445,0,0,0,0,0,0,70009+20#20004+1500#90001+3,,,,,,新版累计充值2000钻,
1503,0,0,0,0,0,0,90001+1,,,,,,荣誉兑换将军材料,
