id,state,Behavior,Behavior2,Behavior3,Behavior4,Behavior5,time,text
50013,2#100,7#105003|105004|105005#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50023,2#100,7#105003|105015|105014#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50033,2#100,7#105002|105001|105004|105015|105013#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50043,2#100,7#105001|105003|105005|105006|105013#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50053,2#100,7#105004|105006|105007#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50063,2#100,7#105004|105005|105007|105013#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50073,2#100,7#105006|105008|105012#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50083,2#100,7#105007|105012|105009#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50093,2#100,7#105008|105012|105011#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50103,2#100,7#105011|105014#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50113,2#100,7#105009|105010|105012|105014#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50123,2#100,7#105009|105008|105007|105013|105011#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50131,5#20:15#50,9#50#50,-1,-1,-1,-1,1,20格内友军求援且建筑兵力达到50个则调动50#50%兵支援友军
50132,3#300,2,-1,-1,-1,-1,1,总兵力达到300则全军出击攻击最近单位
50134,15#100,6#105015|105012|105011|105004|105006#45,-1,-1,-1,-1,1,建筑兵力达到100个则调动45个兵进攻敌军
50143,2#100,7#105010|105015|105011#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
50153,2#100,7#105014|105003|105002|105013#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
51013,2#75:7#1,7#105103|105104|105105#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51023,2#75:7#1,7#105103|105115|105114#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51033,2#75:7#1,7#105102|105101|105104|105115|105113#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51043,2#75:7#1,7#105101|105103|105105|105106|105113#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51053,2#75:7#1,7#105104|105106|105107#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51063,2#75:7#1,7#105104|105105|105107|105113#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51073,2#75:7#1,7#105106|105108|105112#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51083,2#75:7#1,7#105107|105112|105109#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51093,2#75:7#1,7#105108|105112|105111#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51103,2#75:7#1,7#105111|105114#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51113,2#75:7#1,7#105109|105110|105112|105114#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51123,2#75:7#1,7#105109|105108|105107|105113|105111#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51132,5#20:15#60,9#50#60,-1,-1,-1,-1,1,20格内友军求援且建筑兵力达到60个则调动50#60%兵支援友军
51133,3#280,2,-1,-1,-1,-1,1,总兵力达到280则全军出击攻击最近单位
51134,15#100,6#105115|105112|105111|105104|105106#60,-1,-1,-1,-1,1,建筑兵力达到100个则调动60个兵进攻敌军
51135,13#20#50:15#30,6#105115|105112|105111|105104|105106#30,-1,-1,-1,-1,1,20格内敌方兵力少于50个且建筑兵力达到30个则调动30个兵进攻敌军
51143,2#75:7#1,7#105110|105115|105111#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
51153,2#75:7#1,7#105114|105103|105102|105113#75,-1,-1,-1,-1,1,建筑兵力达到75%且己方兵力大于敌军1则调动75%兵进攻敌军
60011,15#60:2#100,6#106004|106002#100,-1,-1,-1,-1,1,建筑兵力达到60个且建筑兵力达到100%则调动100个兵进攻敌军
60021,15#60:2#100:12#11#50,6#106004#40,-1,-1,-1,-1,1,建筑兵力达到60个且建筑兵力达到100+12#11#50%则调动40个兵进攻敌军
60031,15#50:12#11#30,6#106004#30,-1,-1,-1,-1,1,建筑兵力达到50个且11格内敌方兵力大于30个则调动30个兵进攻敌军
60032,15#30:1,3,-1,-1,-1,-1,1,建筑兵力达到30个且可升级则升级
60033,15#50,6#106002#15,-1,-1,-1,-1,1,建筑兵力达到50个则调动15个兵进攻敌军
60034,15#50,6#106002#15,-1,-1,-1,-1,1,建筑兵力达到50个则调动15个兵进攻敌军
60041,15#80:2#100,7#106005|106002|106001#100,-1,-1,-1,-1,1,建筑兵力达到80个且建筑兵力达到100%则调动100%兵进攻敌军
60042,15#30:1,3,-1,-1,-1,-1,1,建筑兵力达到30个且可升级则升级
60051,15#80:2#100,7#106004|106002|106001#100,-1,-1,-1,-1,1,建筑兵力达到80个且建筑兵力达到100%则调动100%兵进攻敌军
60061,3#200,2,-1,-1,-1,-1,1,总兵力达到200则全军出击攻击最近单位
60062,15#50,6#106003#25,-1,-1,-1,-1,1,建筑兵力达到50个则调动25个兵进攻敌军
60063,15#50,6#106001|106002|106006|106007#25,-1,-1,-1,-1,1,攻击玩家兵营
70011,3#400:2#50,2,-1,-1,-1,-1,1,总兵力达到400且建筑兵力达到50%则全军出击攻击最近单位
70012,15#50:6#13,6#107004#24,-1,-1,-1,-1,1,建筑兵力达到50个且13格内存在中立建筑则调动24个兵进攻敌军
70014,2#75,5#107004|107002#50,-1,-1,-1,-1,1,建筑兵力达到75%则向友军调兵50%个
70015,2#100,7#107004|107002#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
70021,5#20:2#75,9#50#25,-1,-1,-1,-1,1,20格内友军求援且建筑兵力达到75%则调动50#25%兵支援友军
70023,15#60:6#15,6#107005#40,-1,-1,-1,-1,1,建筑兵力达到60个且15格内存在中立建筑则调动40个兵进攻敌军
70024,2#75:13#15#30,5#107005#75,-1,-1,-1,-1,1,建筑兵力达到75%且15格内敌方兵力少于30个则向友军调兵75%个
70025,2#100,7#107005|107004|107003#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
70031,5#20:2#75,9#50#25,-1,-1,-1,-1,1,20格内友军求援且建筑兵力达到75%则调动50#25%兵支援友军
70033,15#60:6#14,6#107005#40,-1,-1,-1,-1,1,建筑兵力达到60个且14格内存在中立建筑则调动40个兵进攻敌军
70034,2#75:13#15#30,5#107005#75,-1,-1,-1,-1,1,建筑兵力达到75%且15格内敌方兵力少于30个则向友军调兵75%个
70035,2#100,7#107005|107002|107003#50,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
70041,15#60:1,3,-1,-1,-1,-1,1,建筑兵力达到60个且可升级则升级
70042,15#60:6#15,7#107006#50,-1,-1,-1,-1,1,建筑兵力达到60个且15格内存在中立建筑则调动50%兵进攻敌军
70043,15#100,7#107006|107005#50,-1,-1,-1,-1,1,建筑兵力达到100个则调动50%兵进攻敌军
70053,15#100:6#13,7#107007#100,-1,-1,-1,-1,1,建筑兵力达到100个且13格内存在中立建筑则调动100%兵进攻敌军
70054,2#100:13#13#50,7#107007#100,-1,-1,-1,-1,1,建筑兵力达到100%且13格内敌方兵力少于50个则调动100%兵进攻敌军
70055,2#100:12#15#80,7#107007|107004|107003|107002#100,-1,-1,-1,-1,1,建筑兵力达到100%且15格内敌方兵力大于80个则调动100%兵进攻敌军
70063,2#100,6#107008|107009|107004|107007#30,-1,-1,-1,-1,1,建筑兵力达到100%则调动30个兵进攻敌军
70072,15#50,6#107010|107009|107005#35,-1,-1,-1,-1,1,建筑兵力达到50个则调动35个兵进攻敌军
70083,2#100,6#107009|107006#30,-1,-1,-1,-1,1,建筑兵力达到100%则调动30个兵进攻敌军
70093,2#100,6#107010|107008|107007|107006#30,-1,-1,-1,-1,1,建筑兵力达到100%则调动30个兵进攻敌军
70103,2#100,6#107009|107007#30,-1,-1,-1,-1,1,建筑兵力达到100%则调动30个兵进攻敌军
80012,7#250:2#50,7#108006#100,-1,-1,-1,-1,1,己方兵力大于敌军100且建筑兵力达到50%则调动100%兵进攻敌军
80013,15#40:6#14,7#108002#75,-1,-1,-1,-1,1,建筑兵力达到65个且14格内存在中立建筑则调动75%兵进攻敌军
80014,15#35:6#12,6#108003#25,-1,-1,-1,-1,1,建筑兵力达到50个且12格内存在中立建筑则调动25个兵进攻敌军
80016,2#85,7#108003|108002#100,-1,-1,-1,-1,1,建筑兵力达到85%则向友军调兵100%个
80022,7#250:2#50,7#108006#100,-1,-1,-1,-1,1,己方兵力大于敌军100且建筑兵力达到50%则调动100%兵进攻敌军
80023,2#45:1,3,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
80024,2#100:15#40,7#108004|108007#50,-1,-1,-1,-1,1,建筑兵力达到85%则向友军调兵60%个
80025,15#50,7#108004#60,-1,-1,-1,-1,1,己方兵力大于敌军100且建筑兵力达到50%则调动100%兵进攻敌军
80032,7#250:2#50,7#108006#100,-1,-1,-1,-1,1,建筑兵力达到100%则调动50%兵进攻敌军
80033,2#45:1,3,-1,-1,-1,-1,1,建筑兵力达到85%则向友军调兵60%个
80034,2#100:15#40,7#108005|108004#50,-1,-1,-1,-1,1,20格内友军求援且建筑兵力达到30个则调动50#30%兵支援友军
80035,15#50,7#108005#60,-1,-1,-1,-1,1,己方兵力大于敌军100且建筑兵力达到40个则调动100%兵进攻敌军
80041,5#20:15#30,9#50#30,-1,-1,-1,-1,1,#VALUE!
80042,7#250:2#50,7#108006#100,-1,-1,-1,-1,1,建筑兵力达到60个则向友军调兵60%个
80043,13#45:1:14,3,-1,-1,-1,-1,1,己方建筑大于6且建筑兵力达到80个则调动100%兵进攻敌军
80044,15#60,7#108007|108002#60,-1,-1,-1,-1,1,20格内友军求援且建筑兵力达到30个则调动50#30%兵支援友军
80045,8#2#6:15#80,7#108006#100,-1,-1,-1,-1,1,己方兵力大于敌军100且建筑兵力达到40个则调动100%兵进攻敌军
80051,5#20:15#30,9#50#30,-1,-1,-1,-1,1,#VALUE!
80052,7#250:2#50,7#108006#100,-1,-1,-1,-1,1,建筑兵力达到60个则向友军调兵60%个
80053,13#45:1:14,3,-1,-1,-1,-1,1,己方建筑大于6且建筑兵力达到80个则调动100%兵进攻敌军
80054,15#60,7#108008|108003#60,-1,-1,-1,-1,1,20格内友军求援且建筑兵力达到30个则调动50#30%兵支援友军
80055,8#2#6:15#80,7#108006#100,-1,-1,-1,-1,1,己方兵力大于敌军100且建筑兵力达到40个则调动100%兵进攻敌军
80071,5#20:15#30,9#50#30,-1,-1,-1,-1,1,#VALUE!
80072,7#250:15#40,7#108006#100,-1,-1,-1,-1,1,建筑兵力达到60个则调动50%兵进攻敌军
80073,13#45:1:14,3,-1,-1,-1,-1,1,己方建筑大于6且建筑兵力达到80个则调动75%兵进攻敌军
80074,15#60,7#108009|108004#50,-1,-1,-1,-1,1,20格内友军求援且建筑兵力达到30个则调动50#30%兵支援友军
80075,8#2#6:15#80,7#108006#75,-1,-1,-1,-1,1,己方兵力大于敌军100且建筑兵力达到40个则调动100%兵进攻敌军
80081,5#20:15#30,9#50#30,-1,-1,-1,-1,1,#VALUE!
80082,7#250:15#40,7#108006#100,-1,-1,-1,-1,1,建筑兵力达到60个则调动50%兵进攻敌军
80083,13#45:1:14,3,-1,-1,-1,-1,1,己方建筑大于6且建筑兵力达到80个则调动75%兵进攻敌军
80084,15#60,7#108010|108005#50,-1,-1,-1,-1,1,己方兵力大于敌军100且建筑兵力达到50%则调动100%兵进攻敌军
80085,8#2#6:15#80,7#108006#75,-1,-1,-1,-1,1,建筑兵力达到100%则全军出击攻击最近单位
80092,7#250:2#50,7#108006#100,-1,-1,-1,-1,1,己方兵力大于敌军100且建筑兵力达到50%则调动100%兵进攻敌军
80094,2#100,2,-1,-1,-1,-1,1,建筑兵力达到100%则全军出击攻击最近单位
80102,7#250:2#50,7#108006#100,-1,-1,-1,-1,1,己方兵力大于敌军100且建筑兵力达到50%则调动100%兵进攻敌军
80104,2#100,2,-1,-1,-1,-1,1,建筑兵力达到100%则全军出击攻击最近单位
80112,7#250:2#50,7#108006#100,-1,-1,-1,-1,1,0
80114,2#100,2,-1,-1,-1,-1,1,0
90012,7#200,2,-1,-1,-1,-1,1,己方兵力大于敌军200则全军出击攻击最近单位
90014,2#100:13#9#30,5#109002#25,-1,-1,-1,-1,1,建筑兵力达到100%且9格内敌方兵力少于30个则向友军调兵25%个
90015,2#100:12#9#50,2,-1,-1,-1,-1,1,建筑兵力达到100%且9格内敌方兵力大于50个则全军出击攻击最近单位
90022,15#30:6#10,6#109001#24,-1,-1,-1,-1,1,建筑兵力达到30个且10格内存在中立建筑则调动24个兵进攻敌军
90023,6#13:15#35,7#109003#75,-1,-1,-1,-1,1,13格内存在中立建筑且建筑兵力达到35个则调动75%兵进攻敌军
90025,15#75,7#109004|109003#50,-1,-1,-1,-1,1,建筑兵力达到90个则调动50%兵进攻敌军
90033,15#40:14,7#109004#75,-1,-1,-1,-1,1,建筑兵力达到80个且己方建筑没有收到伤害则调动75%兵进攻敌军
90034,15#80,7#109005#100,-1,-1,-1,-1,1,建筑兵力达到80个则调动100%兵进攻敌军
90043,2#100,7#109006|109005|109003#100,-1,-1,-1,-1,1,建筑兵力达到100%则调动100%兵进攻敌军
90052,2#25:1,3,-1,-1,-1,-1,1,建筑兵力达到25%且可升级则升级
90053,2#100,7#109007|109003#100,-1,-1,-1,-1,1,建筑兵力达到100%则调动100%兵进攻敌军
90063,2#100,7#109007|109004#100,-1,-1,-1,-1,1,建筑兵力达到100%则调动100%兵进攻敌军
90073,2#100,7#109005|109006#100,-1,-1,-1,-1,1,建筑兵力达到100%则调动100%兵进攻敌军
100011,7#250,2,-1,-1,-1,-1,1,己方兵力大于敌军250则全军出击攻击最近单位
100012,15#30:6#12,7#110002|110004#75,-1,-1,-1,-1,1,建筑兵力达到30个且12格内存在中立建筑则调动75%兵进攻敌军
100014,2#75,5#110002#75,-1,-1,-1,-1,1,建筑兵力达到75%则向友军调兵75%个
100021,15#30:1,3,-1,-1,-1,-1,1,建筑兵力达到30个且可升级则升级
100022,15#100:12#15#50,7#110003|110004|110005#75,-1,-1,-1,-1,1,建筑兵力达到100个且15格内敌方兵力大于50个则调动75%兵进攻敌军
100023,15#60:13#15#30,5#110003|110004|110005#75,-1,-1,-1,-1,1,建筑兵力达到60个且15格内敌方兵力少于30个则向友军调兵75%个
100031,15#30:6#11,7#110002#75,-1,-1,-1,-1,1,建筑兵力达到30个且11格内存在中立建筑则调动75%兵进攻敌军
100033,15#60,5#110005#50,-1,-1,-1,-1,1,建筑兵力达到60个则向友军调兵50%个
100042,2#75:13#8#30,7#110006|110002#100,-1,-1,-1,-1,1,建筑兵力达到75%且8格内敌方兵力少于30个则调动100%兵进攻敌军
100043,2#75,7#110006|110002#100,-1,-1,-1,-1,1,
100052,2#100:12#15#80,7#110006|110003#75,-1,-1,-1,-1,1,建筑兵力达到100%则调动75%兵进攻敌军
100053,2#100,7#110007#75,-1,-1,-1,-1,1,建筑兵力达到100%且15格内敌方兵力大于80个则调动75%兵进攻敌军
100062,15#100,7#110007#50,-1,-1,-1,-1,1,建筑兵力达到100个则调动50%兵进攻敌军
100063,15#100:12#15#80,7#110004|110005#75,-1,-1,-1,-1,1,建筑兵力达到100个且15格内敌方兵力大于80个则调动75%兵进攻敌军
100072,2#75,7#110005|110006#50,-1,-1,-1,-1,1,建筑兵力达到75%则调动50%兵进攻敌军
101012,3#500,2,-1,-1,-1,-1,1,总兵力达到500则全军出击攻击最近单位
101013,15#30:6#12,7#110102|110104#75,-1,-1,-1,-1,1,建筑兵力达到30个且12格内存在中立建筑则调动75%兵进攻敌军
101015,2#75,5#110102#75,-1,-1,-1,-1,1,建筑兵力达到75%则向友军调兵75%个
101021,5#25:15#25,9#50#25,-1,-1,-1,-1,1,25格内友军求援且建筑兵力达到25个则调动50#25%兵支援友军
101022,15#20:1,3,-1,-1,-1,-1,1,建筑兵力达到20个且可升级则升级
101023,15#100:12#15#50,7#110103|110104|110105#75,-1,-1,-1,-1,1,建筑兵力达到100个且15格内敌方兵力大于50个则调动75%兵进攻敌军
101024,15#60:13#15#30,5#110103|110104|110105#75,-1,-1,-1,-1,1,建筑兵力达到60个且15格内敌方兵力少于30个则向友军调兵75%个
101032,15#30:6#11,7#110102#75,-1,-1,-1,-1,1,建筑兵力达到30个且11格内存在中立建筑则调动75%兵进攻敌军
101034,15#60,5#110105#50,-1,-1,-1,-1,1,建筑兵力达到60个则向友军调兵50%个
101043,2#75:13#8#30,7#110106|110102#100,-1,-1,-1,-1,1,建筑兵力达到75%且8格内敌方兵力少于30个则调动100%兵进攻敌军
101053,2#100,7#110106#75,-1,-1,-1,-1,1,建筑兵力达到100%则调动75%兵进攻敌军
101054,2#100:12#15#80,7#110106|110103#75,-1,-1,-1,-1,1,建筑兵力达到100%且15格内敌方兵力大于80个则调动75%兵进攻敌军
101061,5#25:15#25,9#50#25,-1,-1,-1,-1,1,25格内友军求援且建筑兵力达到25个则调动50#25%兵支援友军
101062,2#30:1,3,-1,-1,-1,-1,1,建筑兵力达到30%且可升级则升级
101063,15#100,7#110107#50,-1,-1,-1,-1,1,建筑兵力达到100个则调动50%兵进攻敌军
101064,15#100:12#15#40,7#110104|110105#75,-1,-1,-1,-1,1,建筑兵力达到100个且15格内敌方兵力大于40个则调动75%兵进攻敌军
101073,2#75,7#110105|110106#50,-1,-1,-1,-1,1,建筑兵力达到75%则调动50%兵进攻敌军
101074,15#50,7#110102|110104|110105|110106#80,-1,-1,-1,-1,1,达到50兵力则攻击
101075,15#60,7#110107|110108#80,-1,-1,-1,-1,1,达到60兵力则攻击
110012,7#240,2,-1,-1,-1,-1,1,己方兵力大于敌军320则全军出击攻击最近单位
110014,2#75:12#16#10,7#111003|111002#50,-1,-1,-1,-1,1,建筑兵力达到75%且16格内敌方兵力大于10个则调动50%兵进攻敌军
