id,type, range  ,  duration  ,cdtime,icon,priority,beginCd,useRange,isPve,display,headText,text,text1,text2,params,data,startTime,endTime
10010,10,66+100,12,30,ui/Icon/Icon_worry_pvp.png,0,0,2,0,1,地沟油,地沟油,在地面撒上地沟油，使得周围的部队减速,点击道具，然后点击目标区域,30,,,
30001,4,0,75,45,ui/Icon/Icon_blb.png,1,0,1,1,1,兵力包,兵力包,使用后己方的目标建筑增加50兵力,点击道具，然后点击需要补充兵力的己方建筑,,,,
30002,1,0,3,10,ui/Icon/Icon_by.png,4,0,1,1,0,兵营转换卷,兵营转换卷,将一个己方建筑强制转换成兵营，转换后等级为1级,点击道具，然后点击需要转换成兵营的己方建筑,,,,
30003,2,0,3,10,ui/Icon/Icon_yjs.png,5,0,1,1,0,军备所转换卷,军备所转换卷,将一个己方建筑强制转换成军备所，转换后等级为1级,点击道具，然后点击需要转换成兵营的己方建筑,,,,
30004,3,0,3,10,ui/Icon/Icon_pt.png,6,0,1,1,0,箭塔转换卷,箭塔转换卷,将一个己方建筑强制转换成箭塔，转换后等级为1级,点击道具，然后点击需要转换成兵营的己方建筑,,,,
30006,6,210,4060,45,ui/Icon/Icon_mnbs_pvp.png,2,0,2,1,1,朝天椒,朝天椒,召唤一个会爆炸的辣椒，消灭目标区域中的部队,点击道具，然后点击目标区域,,,,
30007,7,1280,10,30,ui/Icon/Icon_ice_worry.png,3,0,2,1,1,速冻蘑菇,速冻蘑菇,召唤速冻蘑菇，冻结移动中的部队,点击道具使用,,,,
30008,8,0,10,10,ui/Icon/Icon_zh.png,10,0,1,1,1,冒险转换卷,冒险转换卷,将一个己方建筑转换成其他建筑,点击道具选择类型，然后点击需要转换的己方建筑,,,,
30009,9,0,15,30,ui/Icon/Icon_dp.png,8,0,1,1,1,隐形斗篷,隐形斗篷,用隐形斗篷盖住一个己方建筑，使其可以不受到敌人的攻击,点击道具，然后点击一个己方建筑,0+0+0+0,,,
30010,10,66+100,12,30,ui/Icon/Icon_worry.png,9,0,2,1,1,麻痹毒蘑菇,麻痹毒蘑菇,在地面种一个毒蘑菇，使得周围的部队麻痹减速,点击道具，然后点击目标区域,30,,,
40001,0,0,0,0,ui/Icon2/rose1.png,0,0,0,2,0,红玫瑰,红玫瑰,0,0,0,0,#20160214000000,#20160216235959
40002,0,0,0,0,ui/Icon2/rose2.png,0,0,0,2,0,蓝玫瑰,蓝玫瑰,0,0,0,0,#20160214000000,#20160216235959
40003,0,0,0,0,ui/Icon2/rose3.png,0,0,0,2,0,七彩玫瑰,七彩玫瑰,0,0,0,0,#20160214000000,#20160216235959
80001,11,0,0,0,ui/Icon2/socks_select.png,0,0,0,2,0,圣诞袜,圣诞袜,打开后会获得圣诞节活动道具,0,0,211,#20160214000000,#20160216235959
80002,12,0,0,0,ui/Icon2/small_box.png,0,0,0,2,0,普通装饰包,普通装饰包,装扮1次获得1积分，有几率获得一个铜宝箱,0,0,0,#20160214000000,#20160216235959
80003,13,0,0,0,ui/Icon2/middle_box.png,0,0,0,2,0,中级装饰包,中级装饰包,装扮1次获得5积分，必定获得一个铜宝箱,0,0,0,#20160214000000,#20160216235959
80004,14,0,0,0,ui/Icon2/big_box.png,0,0,0,2,0,高级装饰包,高级装饰包,装扮1次获得10积分，获得一个银宝箱或金宝箱,0,0,0,#20160214000000,#20160216235959
80101,15,0,0,0,ui/Icon2/copper_box_a.png,0,0,0,2,0,铜宝箱,铜宝箱,可开出美味精华、闯关道具,0,0,301,,
80102,16,0,0,0,ui/Icon2/silver_box_a.png,0,0,0,2,0,银宝箱,银宝箱,可开出优秀佐料、各种道具,0,0,302,,
80103,17,0,0,0,ui/Icon2/gold_box_a.png,0,0,0,2,0,金宝箱,金宝箱,可开出精致佐料、各种道具,0,0,303,,
80104,0,0,0,0,ui/Icon2/rose_box_1.png,0,0,0,2,0,情人节礼盒1,情人节礼盒1,可开出美味精华、闯关道具,0,40001,301,#20160214000000,#20160216235959
80105,0,0,0,0,ui/Icon2/rose_box_2.png,0,0,0,2,0,情人节礼盒2,情人节礼盒2,可开出优秀佐料、各种道具,0,40002,302,#20160214000000,#20160216235959
80106,0,0,0,0,ui/Icon2/rose_box_3.png,0,0,0,2,0,情人节礼盒3,情人节礼盒3,可开出精致佐料、各种道具,0,40003,303,#20160214000000,#20160216235959
80111,0,0,0,0,ui/Icon2/silver_box_a.png,0,0,0,2,1,冒险道具包,冒险道具包,开启可以随机获得一个冒险用道具,0,0,311,,
80112,0,0,0,0,ui/Icon2/gold_box_a.png,0,0,0,2,1,对战道具包,对战道具包,开启可以随机获得一个对战用道具,0,0,312,,
80201,0,0,0,0,ui/Icon2/gold_box_a.png,0,0,0,2,1,黄金天赋宝箱,黄金天赋宝箱,开启可随机获得急速残卷，不屈残卷，上限残卷，迅捷残卷中的一个,0,0,313,,
80202,0,0,0,0,ui/Icon2/silver_box_a.png,0,0,0,2,1,水晶天赋宝箱,水晶天赋宝箱,开启可随机获得充能残卷，舍己残卷，提速残卷中的一个,0,0,314,,
50001,100,0,1,0,ui/Icon/Icon_milk.png,0,0,0,2,1,小牛奶,小牛奶,开启获得1点体力,0,0,321,,
50002,101,0,20,0,ui/Icon/Icon_milk_two.png,0,0,0,2,1,牛奶,牛奶,开启获得20点体力,0,0,322,,
50101,102,0,1,0,ui/Icon/Icon_vigour.png,0,0,0,2,1,小火腿,小火腿,开启获得1点精力,0,0,,,
50102,103,0,20,0,ui/Icon/Icon_huotui.png,0,0,0,2,1,火腿,火腿,开启获得20点精力,0,0,,,
51001,0,0,0,0,ui/Icon2/Icon_trycard_fire1.png,0,0,0,2,1,1天火精灵体验卡,1天火精灵体验卡,打开获得一个有效期为1天的火精灵,0,0,,,
51002,0,0,0,0,ui/Icon2/Icon_trycard_glinb1.png,0,0,0,2,1,1天地精工程师体验卡,1天地精工程师体验卡,打开获得一个有效期为1天的地精工程师,0,0,,,
51003,0,0,0,0,ui/Icon2/Icon_trycard_owl1.png,0,0,0,2,1,1天猫头鹰体验卡,1天猫头鹰体验卡,打开获得一个有效期为1天的猫头鹰,0,0,,,
50301,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天将军体验卡,1天将军体验卡,打开随机获得一个有效期为1天的将军,0,0,,,
51005,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天石头人体验卡,1天石头人体验卡,打开获得一个有效期为1天的石头人,0,0,,,
51006,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天机器人体验卡,1天机器人体验卡,打开获得一个有效期为1天的机器人,0,0,,,
51007,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天幽灵体验卡,1天幽灵体验卡,打开获得一个有效期为1天的幽灵,0,0,,,
51008,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天关羽体验卡,1天关羽体验卡,打开获得一个有效期为1天的关羽,0,0,,,
51009,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天貂蝉体验卡,1天貂蝉体验卡,打开获得一个有效期为1天的貂蝉,0,0,,,
51010,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天吕布体验卡,1天吕布体验卡,打开获得一个有效期为1天的吕布,0,0,,,
51011,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天孙悟空体验卡,1天孙悟空体验卡,打开获得一个有效期为1天的孙悟空,0,0,,,
51012,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天哪吒体验卡,1天哪吒体验卡,打开获得一个有效期为1天的哪吒,0,0,,,
51013,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天雅典娜体验卡,1天雅典娜体验卡,打开获得一个有效期为1天的雅典娜,0,0,,,
51014,0,0,0,0,ui/Icon2/Icon_trycard_odds.png,0,0,0,2,1,1天牛魔王体验卡,1天牛魔王体验卡,打开获得一个有效期为1天的牛魔王,0,0,,,
20101,0,0,0,0,ui/Icon/duihuan_zongzi.png,0,0,0,0,0,0,节日活动道具,0,0,0,,,
